exp_id,surrogate,depth,mae_to_rbf_oof,correlation_to_rbf_oof,r2_to_rbf_oof
v81_20260618_103517,tree_depth2_leaf40,2,0.12413372169000104,0.12729051102402514,0.016202874196757477
v81_20260618_103517,tree_depth3_leaf40,3,0.12344791156616126,0.16842178660526133,0.02836589820330826
v81_20260618_103517,tree_depth4_leaf40,4,0.12432008604090695,0.19280478452238647,0.03717368493472406
v81_20260618_103517,tree_depth5_leaf40,5,0.12703480318456062,0.23285116999840177,0.05421966736962469
