exp_id,candidate,mean_mae,std_mae,raw_mae,clip_round2_mae,pred_mean,pred_std,pred_min,pred_max,endpoint_0_count,endpoint_1_count,section,k,neighbor_target_std_mean,neighbor_target_std_median
v8_20260618_102726,rbf_v532_candidate1_reference,0.13417,0.007928078714213516,0.13468816374801534,0.13416999999999998,0.47684,0.19651841532670886,0.0,1.0,14.0,12.0,rbf_reference,,,
v8_20260618_102726,ridge_raw,0.2500433333333333,0.006011717981277892,0.2500304541997865,0.2500433333333334,0.48223333333333335,0.03438613612598515,0.33,0.59,0.0,0.0,linear_probe,,,
v8_20260618_102726,ridge_y100,0.2500433333333333,0.006011717981277892,0.2500304541997865,0.2500433333333334,0.48223333333333335,0.03438613612598515,0.33,0.59,0.0,0.0,linear_probe,,,
v8_20260618_102726,ridge_arcsin_sqrt,0.25031666666666663,0.0061248784316481775,0.250343913357004,0.2503166666666667,0.4785466666666667,0.041325420978237666,0.32,0.61,0.0,0.0,linear_probe,,,
v8_20260618_102726,ridge_rank_normal,0.25117,0.006298019480973043,0.25118079760583534,0.25117,0.4752533333333333,0.05671220838951429,0.3,0.65,0.0,0.0,linear_probe,,,
v8_20260618_102726,ridge_logit,0.25196,0.0064167950925099115,0.2518949605196853,0.25195999999999996,0.47004333333333337,0.06309695077646768,0.29,0.66,0.0,0.0,linear_probe,,,
v8_20260618_102726,knn_k5,0.2504433333333333,,0.25039933333333336,,0.4738066666666667,0.14653054182928946,,,,,knn,5.0,0.2606511922246082,0.26613906139460247
v8_20260618_102726,knn_k10,0.2515,,0.25148033333333336,,0.4757766666666666,0.10261533393118281,,,,,knn,10.0,0.2756804125476551,0.27821353700060064
v8_20260618_102726,knn_k20,0.2506733333333333,,0.2506948333333333,,0.4788966666666667,0.07127020744821869,,,,,knn,20.0,0.2827187412479121,0.2846826468523977
