exp_id,scheme,mw_group_candidate,count,y100_mean,y100_std,residual100_mean,residual100_mae,pred100_mean
v82_20260618_103948,current_fine,10,346,46.774566473988436,29.453693264393177,0.17341040462427737,13.809248554913294,46.60115606936416
v82_20260618_103948,current_fine,11,120,59.641666666666666,24.758597804926403,8.358333333333333,13.341666666666667,51.28333333333333
v82_20260618_103948,current_fine,7,318,46.57232704402516,29.112413283444585,-1.1069182389937107,13.635220125786164,47.679245283018865
v82_20260618_103948,current_fine,8,451,48.23281596452328,30.2181900452075,1.1995565410199556,14.702882483370288,47.033259423503324
v82_20260618_103948,current_fine,9,537,46.109869646182496,29.500332583847317,-0.9310986964618249,13.84729981378026,47.04096834264432
v82_20260618_103948,current_fine,<=6,119,31.168067226890756,18.231244984650864,-8.22689075630252,10.210084033613445,39.39495798319328
v82_20260618_103948,current_fine,>=12,77,72.36363636363636,18.398304477736595,12.883116883116884,13.454545454545455,59.48051948051948
v82_20260618_103948,current_fine,missing,1032,49.12112403100775,28.00612825232831,0.7965116279069767,12.80813953488372,48.32461240310077
v82_20260618_103948,coarse_extreme,11,120,59.641666666666666,24.758597804926403,8.358333333333333,13.341666666666667,51.28333333333333
v82_20260618_103948,coarse_extreme,7_10,1652,46.917675544794186,29.59974057249265,-0.15193704600484262,14.032082324455207,47.06961259079903
v82_20260618_103948,coarse_extreme,<=6,119,31.168067226890756,18.231244984650864,-8.22689075630252,10.210084033613445,39.39495798319328
v82_20260618_103948,coarse_extreme,>=12,77,72.36363636363636,18.398304477736595,12.883116883116884,13.454545454545455,59.48051948051948
v82_20260618_103948,coarse_extreme,missing,1032,49.12112403100775,28.00612825232831,0.7965116279069767,12.80813953488372,48.32461240310077
v82_20260618_103948,high_11plus,11plus,197,64.61421319796955,23.284255015958585,10.126903553299492,13.385786802030458,54.48730964467005
v82_20260618_103948,high_11plus,7_10,1652,46.917675544794186,29.59974057249265,-0.15193704600484262,14.032082324455207,47.06961259079903
v82_20260618_103948,high_11plus,<=6,119,31.168067226890756,18.231244984650864,-8.22689075630252,10.210084033613445,39.39495798319328
v82_20260618_103948,high_11plus,missing,1032,49.12112403100775,28.00612825232831,0.7965116279069767,12.80813953488372,48.32461240310077
v82_20260618_103948,high_12plus,12plus,77,72.36363636363636,18.398304477736595,12.883116883116884,13.454545454545455,59.48051948051948
v82_20260618_103948,high_12plus,7_11,1772,47.7793453724605,29.465142955254642,0.42437923250564336,13.985327313769751,47.354966139954854
v82_20260618_103948,high_12plus,<=6,119,31.168067226890756,18.231244984650864,-8.22689075630252,10.210084033613445,39.39495798319328
v82_20260618_103948,high_12plus,missing,1032,49.12112403100775,28.00612825232831,0.7965116279069767,12.80813953488372,48.32461240310077
v82_20260618_103948,low_7_high_11,11plus,197,64.61421319796955,23.284255015958585,10.126903553299492,13.385786802030458,54.48730964467005
v82_20260618_103948,low_7_high_11,8_10,1334,47.0,29.72492039893768,0.07571214392803599,14.126686656671664,46.92428785607196
v82_20260618_103948,low_7_high_11,<=7,437,42.37757437070938,27.44622349269723,-3.045766590389016,12.702517162471397,45.4233409610984
v82_20260618_103948,low_7_high_11,missing,1032,49.12112403100775,28.00612825232831,0.7965116279069767,12.80813953488372,48.32461240310077
v82_20260618_103948,low_6_mid_7_8_high_9plus,11plus,197,64.61421319796955,23.284255015958585,10.126903553299492,13.385786802030458,54.48730964467005
v82_20260618_103948,low_6_mid_7_8_high_9plus,7_8,769,47.546163849154745,29.7580217472812,0.24577373211963588,14.261378413524056,47.30039011703511
v82_20260618_103948,low_6_mid_7_8_high_9plus,9_10,883,46.370328425821064,29.467148059230688,-0.4983012457531144,13.832389580973953,46.868629671574176
v82_20260618_103948,low_6_mid_7_8_high_9plus,<=6,119,31.168067226890756,18.231244984650864,-8.22689075630252,10.210084033613445,39.39495798319328
v82_20260618_103948,low_6_mid_7_8_high_9plus,missing,1032,49.12112403100775,28.00612825232831,0.7965116279069767,12.80813953488372,48.32461240310077
