exp_id,candidate,seed,n_splits,postprocess,mean_mae,std_mae,pred_mean,pred_std,pred_min,pred_max,pred_endpoint_0_count,pred_endpoint_1_count,sentinel_value,train_mean_working_median,train_mean_working_iqr,scaled_sentinel_value
v531_20260617_190253,sentinel99_seed42,42,10,clip_0_1_round2,0.13491666666666666,0.008082021657609812,0.47696000000000005,0.19551325669763378,0.0,1.0,10,10,99.0,9.0,2.0,45.0
v531_20260617_190253,sentinel99_seed2024,2024,10,clip_0_1_round2,0.13366,0.011201287403962675,0.4751966666666667,0.19630691987587345,0.0,1.0,10,10,99.0,9.0,2.0,45.0
v531_20260617_190253,sentinel99_seed2025,2025,10,clip_0_1_round2,0.13715333333333332,0.006819040155474617,0.47392999999999996,0.1924882827940556,0.0,1.0,10,8,99.0,9.0,2.0,45.0
v531_20260617_190253,sentinel99_seed777,777,10,clip_0_1_round2,0.1355633333333333,0.007426702739456247,0.47612000000000004,0.19496841580382623,0.0,1.0,10,8,99.0,9.0,2.0,45.0
v531_20260617_190253,sentinel99_seed1004,1004,10,clip_0_1_round2,0.13513,0.010372630772171664,0.47784,0.19510532992015986,0.0,1.0,10,8,99.0,9.0,2.0,45.0
