exp_id,rule_col,rule_value,count,residual100_mean,residual100_median,residual100_std,residual100_mae,t_like_residual_mean,global_residual_mean,global_residual_std,score_rule_hint
v81_20260618_103517,endpoint_group,0.97~0.99,90,29.666666666666668,48.0,24.24129636463781,29.666666666666668,11.610052017083651,0.529,21.06536831501922,True
v81_20260618_103517,endpoint_group,y==1,17,15.764705882352942,0.0,25.314347245595496,15.764705882352942,2.567695974109965,0.529,21.06536831501922,False
v81_20260618_103517,mean_working_group,>=12,77,12.883116883116884,2.0,17.124908010489797,13.454545454545455,6.601430604982706,0.529,21.06536831501922,True
v81_20260618_103517,mean_working_group,11,120,8.358333333333333,0.0,19.227429563492038,13.341666666666667,4.761996599385861,0.529,21.06536831501922,True
v81_20260618_103517,smoke_status,current-smoker,784,1.8724489795918366,0.0,21.66632021231875,13.813775510204081,2.4198189131702335,0.529,21.06536831501922,False
v81_20260618_103517,medical_history,diabetes,506,1.7865612648221343,0.0,20.01202354509675,12.707509881422926,2.0081778237928964,0.529,21.06536831501922,False
v81_20260618_103517,edu_level,__MISSING__,607,1.6194398682042834,0.0,21.045334164958692,13.635914332784184,1.8958472645753923,0.529,21.06536831501922,False
v81_20260618_103517,family_medical_history,heart disease,419,1.4630071599045347,0.0,20.989184764057825,13.214797136038186,1.4267828894151913,0.529,21.06536831501922,False
v81_20260618_103517,family_medical_history,high blood pressure,480,1.41875,0.0,20.531295489268107,12.922916666666667,1.5139451455786448,0.529,21.06536831501922,False
v81_20260618_103517,medical_history,high blood pressure,697,1.272596843615495,0.0,20.451168593473287,12.75609756097561,1.6428166729238534,0.529,21.06536831501922,False
v81_20260618_103517,mean_working_group,8,451,1.1995565410199556,0.0,22.470426980629362,14.702882483370288,1.1336987538193142,0.529,21.06536831501922,False
v81_20260618_103517,edu_level,graduate degree,589,0.9592529711375212,0.0,21.651578553601293,13.69609507640068,1.0752296590880472,0.529,21.06536831501922,False
v81_20260618_103517,activity,moderate,1431,0.9524807826694619,0.0,20.32224260608839,12.60167714884696,1.7729823298963276,0.529,21.06536831501922,False
v81_20260618_103517,mean_working_group,missing,1032,0.7965116279069767,0.0,20.457646329626247,12.80813953488372,1.2507666781067208,0.529,21.06536831501922,False
v81_20260618_103517,sleep_pattern,normal,1557,0.6679511881824021,0.0,20.875985434066923,13.096981374438021,1.2625309922379,0.529,21.06536831501922,False
v81_20260618_103517,activity,intense,675,0.6074074074074074,0.0,22.001381227310265,14.405925925925926,0.7172689384728704,0.529,21.06536831501922,False
v81_20260618_103517,sleep_pattern,sleep difficulty,1019,0.5426889106967615,0.0,21.569891266893393,14.10107948969578,0.8031378311187051,0.529,21.06536831501922,False
v81_20260618_103517,endpoint_group,middle,2766,0.5130151843817787,0.0,19.536445576658803,12.488430947216196,1.3810543041064587,0.529,21.06536831501922,False
v81_20260618_103517,edu_level,high school diploma,924,0.4025974025974026,0.0,20.853776474446793,13.121212121212121,0.5868434209625022,0.529,21.06536831501922,False
v81_20260618_103517,smoke_status,ex-smoker,1177,0.32710280373831774,0.0,20.833667999092125,13.23109600679694,0.5386501176400617,0.529,21.06536831501922,False
v81_20260618_103517,medical_history,__MISSING__,1289,0.295577967416602,0.0,21.629294618871622,14.033359193173002,0.49063232798541845,0.529,21.06536831501922,False
v81_20260618_103517,family_medical_history,diabetes,615,0.26991869918699185,0.0,21.718332875531726,14.373983739837398,0.3082080976606206,0.529,21.06536831501922,False
v81_20260618_103517,mean_working_group,10,346,0.1734104046242775,0.0,21.259718689818317,13.809248554913294,0.15172449036061958,0.529,21.06536831501922,False
v81_20260618_103517,family_medical_history,__MISSING__,1486,0.08546433378196501,0.0,20.986578138724788,13.237550471063257,0.15698302141774098,0.529,21.06536831501922,False
v81_20260618_103517,sleep_pattern,oversleeping,424,-0.014150943396226415,0.0,20.565292153474914,12.94811320754717,-0.01416881202234435,0.529,21.06536831501922,False
v81_20260618_103517,activity,light,894,-0.2080536912751678,0.0,21.511248704891553,13.975391498881432,-0.28918686510413893,0.529,21.06536831501922,False
v81_20260618_103517,smoke_status,non-smoker,1039,-0.25601539942252166,0.0,20.837611889836104,13.328200192492782,-0.3960280232420764,0.529,21.06536831501922,False
v81_20260618_103517,edu_level,bachelors degree,880,-0.3784090909090909,0.0,20.895508762192453,13.389772727272728,-0.537217247867343,0.529,21.06536831501922,False
v81_20260618_103517,mean_working_group,9,537,-0.931098696461825,0.0,21.576073789529246,13.84729981378026,-1.000024045643381,0.529,21.06536831501922,False
v81_20260618_103517,mean_working_group,7,318,-1.1069182389937107,0.0,21.2078763997628,13.635220125786164,-0.9307475888656503,0.529,21.06536831501922,False
v81_20260618_103517,medical_history,heart disease,508,-1.1515748031496063,0.0,21.40108795277569,13.466535433070867,-1.212797123103967,0.529,21.06536831501922,False
v81_20260618_103517,mean_working_group,<=6,119,-8.22689075630252,0.0,15.193908778832723,10.210084033613445,-5.906629042296813,0.529,21.06536831501922,True
v81_20260618_103517,endpoint_group,y==0,26,-17.884615384615383,0.0,23.257389231084254,17.884615384615383,-3.9210765203762348,0.529,21.06536831501922,False
v81_20260618_103517,endpoint_group,0.01~0.03,101,-22.821782178217823,-2.0,23.486334767095506,22.821782178217823,-9.765511503511895,0.529,21.06536831501922,True
