C,gamma,mean_mae,std_mae,diff_vs_best,pred_mean,pred_std
1.0,1.07,0.13415666666666667,0.007956595990314357,0.0,0.4768266666666667,0.1964637285155258
4.0,1.07,0.13415666666666667,0.007956595990314357,0.0,0.4768266666666667,0.1964637285155258
1.0,1.06,0.13416333333333336,0.007947768535341104,6.666666666682586e-06,0.47682,0.19649856895153206
1.0,1.0632,0.13416333333333336,0.00792762711061376,6.666666666682586e-06,0.47683333333333333,0.1964933558390433
4.0,1.06,0.13416333333333336,0.007947768535341104,6.666666666682586e-06,0.47682,0.19649856895153206
4.0,1.0632,0.13416333333333336,0.00792762711061376,6.666666666682586e-06,0.47683333333333333,0.1964933558390433
4.0,1.05,0.13416666666666666,0.007965078099793018,9.999999999982245e-06,0.4768233333333333,0.19652109841495954
1.0,1.05,0.13417,0.007967626627426387,1.3333333333337416e-05,0.4768266666666667,0.19652242439194792
1.0,1.0,0.1342033333333333,0.007926007355068035,4.666666666663932e-05,0.47674666666666676,0.19663540497298265
4.0,1.0,0.13420666666666667,0.007928520170798925,4.999999999999449e-05,0.47674333333333335,0.1966347564789998
