candidate,fold,postprocess,mae,C,gamma,epsilon
c0.7_g0.7_e0,1,clip,0.1292288777832683,2.7744714952627008,0.7442131903182224,0.0
c0.7_g0.7_e0,1,round2,0.12863333333333335,2.7744714952627008,0.7442131903182224,0.0
c0.7_g0.7_e0,2,clip,0.12364988634214015,2.7744714952627008,0.7442131903182224,0.0
c0.7_g0.7_e0,2,round2,0.12316666666666667,2.7744714952627008,0.7442131903182224,0.0
c0.7_g0.7_e0,3,clip,0.13839814339888357,2.7744714952627008,0.7442131903182224,0.0
c0.7_g0.7_e0,3,round2,0.1380333333333333,2.7744714952627008,0.7442131903182224,0.0
c0.7_g0.7_e0,4,clip,0.14391459285034292,2.7744714952627008,0.7442131903182224,0.0
c0.7_g0.7_e0,4,round2,0.1436,2.7744714952627008,0.7442131903182224,0.0
c0.7_g0.7_e0,5,clip,0.1415070440623993,2.7744714952627008,0.7442131903182224,0.0
c0.7_g0.7_e0,5,round2,0.1410666666666667,2.7744714952627008,0.7442131903182224,0.0
c0.7_g0.7_e0,6,clip,0.1220890025097206,2.7744714952627008,0.7442131903182224,0.0
c0.7_g0.7_e0,6,round2,0.12160000000000001,2.7744714952627008,0.7442131903182224,0.0
c0.7_g0.7_e0,7,clip,0.13761688808278666,2.7744714952627008,0.7442131903182224,0.0
c0.7_g0.7_e0,7,round2,0.1374,2.7744714952627008,0.7442131903182224,0.0
c0.7_g0.7_e0,8,clip,0.1424693924180185,2.7744714952627008,0.7442131903182224,0.0
c0.7_g0.7_e0,8,round2,0.14173333333333335,2.7744714952627008,0.7442131903182224,0.0
c0.7_g0.7_e0,9,clip,0.14294908557980057,2.7744714952627008,0.7442131903182224,0.0
c0.7_g0.7_e0,9,round2,0.14270000000000002,2.7744714952627008,0.7442131903182224,0.0
c0.7_g0.7_e0,10,clip,0.13411203462339222,2.7744714952627008,0.7442131903182224,0.0
c0.7_g0.7_e0,10,round2,0.13383333333333333,2.7744714952627008,0.7442131903182224,0.0
c0.7_g0.85_e0,1,clip,0.12910192486413094,2.7744714952627008,0.9036874453864129,0.0
c0.7_g0.85_e0,1,round2,0.1287,2.7744714952627008,0.9036874453864129,0.0
c0.7_g0.85_e0,2,clip,0.12340136219177697,2.7744714952627008,0.9036874453864129,0.0
c0.7_g0.85_e0,2,round2,0.12303333333333333,2.7744714952627008,0.9036874453864129,0.0
c0.7_g0.85_e0,3,clip,0.13835331274698204,2.7744714952627008,0.9036874453864129,0.0
c0.7_g0.85_e0,3,round2,0.13806666666666667,2.7744714952627008,0.9036874453864129,0.0
c0.7_g0.85_e0,4,clip,0.14334775886792409,2.7744714952627008,0.9036874453864129,0.0
c0.7_g0.85_e0,4,round2,0.14293333333333336,2.7744714952627008,0.9036874453864129,0.0
c0.7_g0.85_e0,5,clip,0.14064344949672133,2.7744714952627008,0.9036874453864129,0.0
c0.7_g0.85_e0,5,round2,0.14036666666666667,2.7744714952627008,0.9036874453864129,0.0
c0.7_g0.85_e0,6,clip,0.12133503133536411,2.7744714952627008,0.9036874453864129,0.0
c0.7_g0.85_e0,6,round2,0.12056666666666667,2.7744714952627008,0.9036874453864129,0.0
c0.7_g0.85_e0,7,clip,0.13772148928986264,2.7744714952627008,0.9036874453864129,0.0
c0.7_g0.85_e0,7,round2,0.13766666666666666,2.7744714952627008,0.9036874453864129,0.0
c0.7_g0.85_e0,8,clip,0.1423226702224801,2.7744714952627008,0.9036874453864129,0.0
c0.7_g0.85_e0,8,round2,0.1419,2.7744714952627008,0.9036874453864129,0.0
c0.7_g0.85_e0,9,clip,0.14223817987032294,2.7744714952627008,0.9036874453864129,0.0
c0.7_g0.85_e0,9,round2,0.14193333333333333,2.7744714952627008,0.9036874453864129,0.0
c0.7_g0.85_e0,10,clip,0.13495313403722667,2.7744714952627008,0.9036874453864129,0.0
c0.7_g0.85_e0,10,round2,0.13453333333333334,2.7744714952627008,0.9036874453864129,0.0
c0.7_g1_e0,1,clip,0.12913517168213956,2.7744714952627008,1.0631617004546035,0.0
c0.7_g1_e0,1,round2,0.12886666666666666,2.7744714952627008,1.0631617004546035,0.0
c0.7_g1_e0,2,clip,0.12343870002100102,2.7744714952627008,1.0631617004546035,0.0
c0.7_g1_e0,2,round2,0.12283333333333334,2.7744714952627008,1.0631617004546035,0.0
c0.7_g1_e0,3,clip,0.13836537579473263,2.7744714952627008,1.0631617004546035,0.0
c0.7_g1_e0,3,round2,0.13823333333333332,2.7744714952627008,1.0631617004546035,0.0
c0.7_g1_e0,4,clip,0.14295134693252973,2.7744714952627008,1.0631617004546035,0.0
c0.7_g1_e0,4,round2,0.14276666666666665,2.7744714952627008,1.0631617004546035,0.0
c0.7_g1_e0,5,clip,0.14022293474160577,2.7744714952627008,1.0631617004546035,0.0
c0.7_g1_e0,5,round2,0.1399,2.7744714952627008,1.0631617004546035,0.0
c0.7_g1_e0,6,clip,0.12099222494313895,2.7744714952627008,1.0631617004546035,0.0
c0.7_g1_e0,6,round2,0.12056666666666667,2.7744714952627008,1.0631617004546035,0.0
c0.7_g1_e0,7,clip,0.13769317312741827,2.7744714952627008,1.0631617004546035,0.0
c0.7_g1_e0,7,round2,0.1374,2.7744714952627008,1.0631617004546035,0.0
c0.7_g1_e0,8,clip,0.14241401354749583,2.7744714952627008,1.0631617004546035,0.0
c0.7_g1_e0,8,round2,0.14196666666666669,2.7744714952627008,1.0631617004546035,0.0
c0.7_g1_e0,9,clip,0.14199801848857818,2.7744714952627008,1.0631617004546035,0.0
c0.7_g1_e0,9,round2,0.1417,2.7744714952627008,1.0631617004546035,0.0
c0.7_g1_e0,10,clip,0.1354277109107213,2.7744714952627008,1.0631617004546035,0.0
c0.7_g1_e0,10,round2,0.13493333333333335,2.7744714952627008,1.0631617004546035,0.0
c0.7_g1.15_e0,1,clip,0.12925708308926653,2.7744714952627008,1.222635955522794,0.0
c0.7_g1.15_e0,1,round2,0.12896666666666665,2.7744714952627008,1.222635955522794,0.0
c0.7_g1.15_e0,2,clip,0.12359415126883586,2.7744714952627008,1.222635955522794,0.0
c0.7_g1.15_e0,2,round2,0.12326666666666668,2.7744714952627008,1.222635955522794,0.0
c0.7_g1.15_e0,3,clip,0.13844798028579486,2.7744714952627008,1.222635955522794,0.0
c0.7_g1.15_e0,3,round2,0.13813333333333333,2.7744714952627008,1.222635955522794,0.0
c0.7_g1.15_e0,4,clip,0.14274442961320985,2.7744714952627008,1.222635955522794,0.0
c0.7_g1.15_e0,4,round2,0.14246666666666669,2.7744714952627008,1.222635955522794,0.0
c0.7_g1.15_e0,5,clip,0.1400354538140052,2.7744714952627008,1.222635955522794,0.0
c0.7_g1.15_e0,5,round2,0.13953333333333334,2.7744714952627008,1.222635955522794,0.0
c0.7_g1.15_e0,6,clip,0.12085435398681862,2.7744714952627008,1.222635955522794,0.0
c0.7_g1.15_e0,6,round2,0.12030000000000002,2.7744714952627008,1.222635955522794,0.0
c0.7_g1.15_e0,7,clip,0.1376157974720136,2.7744714952627008,1.222635955522794,0.0
c0.7_g1.15_e0,7,round2,0.1373666666666667,2.7744714952627008,1.222635955522794,0.0
c0.7_g1.15_e0,8,clip,0.14260293981176397,2.7744714952627008,1.222635955522794,0.0
c0.7_g1.15_e0,8,round2,0.14209999999999998,2.7744714952627008,1.222635955522794,0.0
c0.7_g1.15_e0,9,clip,0.14188803375564332,2.7744714952627008,1.222635955522794,0.0
c0.7_g1.15_e0,9,round2,0.14156666666666667,2.7744714952627008,1.222635955522794,0.0
c0.7_g1.15_e0,10,clip,0.13575204380448833,2.7744714952627008,1.222635955522794,0.0
c0.7_g1.15_e0,10,round2,0.13533333333333333,2.7744714952627008,1.222635955522794,0.0
c0.7_g1.3_e0,1,clip,0.12936396325630137,2.7744714952627008,1.3821102105909846,0.0
c0.7_g1.3_e0,1,round2,0.1290333333333333,2.7744714952627008,1.3821102105909846,0.0
c0.7_g1.3_e0,2,clip,0.1238319950716482,2.7744714952627008,1.3821102105909846,0.0
c0.7_g1.3_e0,2,round2,0.12356666666666667,2.7744714952627008,1.3821102105909846,0.0
c0.7_g1.3_e0,3,clip,0.13859226112336923,2.7744714952627008,1.3821102105909846,0.0
c0.7_g1.3_e0,3,round2,0.13820000000000002,2.7744714952627008,1.3821102105909846,0.0
c0.7_g1.3_e0,4,clip,0.14273891033030656,2.7744714952627008,1.3821102105909846,0.0
c0.7_g1.3_e0,4,round2,0.14253333333333335,2.7744714952627008,1.3821102105909846,0.0
c0.7_g1.3_e0,5,clip,0.14007990362542838,2.7744714952627008,1.3821102105909846,0.0
c0.7_g1.3_e0,5,round2,0.13973333333333335,2.7744714952627008,1.3821102105909846,0.0
c0.7_g1.3_e0,6,clip,0.12084047699283607,2.7744714952627008,1.3821102105909846,0.0
c0.7_g1.3_e0,6,round2,0.12059999999999997,2.7744714952627008,1.3821102105909846,0.0
c0.7_g1.3_e0,7,clip,0.1375651868788311,2.7744714952627008,1.3821102105909846,0.0
c0.7_g1.3_e0,7,round2,0.1371666666666667,2.7744714952627008,1.3821102105909846,0.0
c0.7_g1.3_e0,8,clip,0.14282920057769796,2.7744714952627008,1.3821102105909846,0.0
c0.7_g1.3_e0,8,round2,0.14229999999999998,2.7744714952627008,1.3821102105909846,0.0
c0.7_g1.3_e0,9,clip,0.14190756626496867,2.7744714952627008,1.3821102105909846,0.0
c0.7_g1.3_e0,9,round2,0.14176666666666665,2.7744714952627008,1.3821102105909846,0.0
c0.7_g1.3_e0,10,clip,0.13598615604766154,2.7744714952627008,1.3821102105909846,0.0
c0.7_g1.3_e0,10,round2,0.1356,2.7744714952627008,1.3821102105909846,0.0
c0.85_g0.7_e0,1,clip,0.1292288777832683,3.369001101390422,0.7442131903182224,0.0
c0.85_g0.7_e0,1,round2,0.12863333333333335,3.369001101390422,0.7442131903182224,0.0
c0.85_g0.7_e0,2,clip,0.12364988634214015,3.369001101390422,0.7442131903182224,0.0
c0.85_g0.7_e0,2,round2,0.12316666666666667,3.369001101390422,0.7442131903182224,0.0
c0.85_g0.7_e0,3,clip,0.13839814339888357,3.369001101390422,0.7442131903182224,0.0
c0.85_g0.7_e0,3,round2,0.1380333333333333,3.369001101390422,0.7442131903182224,0.0
c0.85_g0.7_e0,4,clip,0.14391459285034292,3.369001101390422,0.7442131903182224,0.0
c0.85_g0.7_e0,4,round2,0.1436,3.369001101390422,0.7442131903182224,0.0
c0.85_g0.7_e0,5,clip,0.1415070440623993,3.369001101390422,0.7442131903182224,0.0
c0.85_g0.7_e0,5,round2,0.1410666666666667,3.369001101390422,0.7442131903182224,0.0
c0.85_g0.7_e0,6,clip,0.1220890025097206,3.369001101390422,0.7442131903182224,0.0
c0.85_g0.7_e0,6,round2,0.12160000000000001,3.369001101390422,0.7442131903182224,0.0
c0.85_g0.7_e0,7,clip,0.13761688808278666,3.369001101390422,0.7442131903182224,0.0
c0.85_g0.7_e0,7,round2,0.1374,3.369001101390422,0.7442131903182224,0.0
c0.85_g0.7_e0,8,clip,0.1424693924180185,3.369001101390422,0.7442131903182224,0.0
c0.85_g0.7_e0,8,round2,0.14173333333333335,3.369001101390422,0.7442131903182224,0.0
c0.85_g0.7_e0,9,clip,0.14294908557980057,3.369001101390422,0.7442131903182224,0.0
c0.85_g0.7_e0,9,round2,0.14270000000000002,3.369001101390422,0.7442131903182224,0.0
c0.85_g0.7_e0,10,clip,0.13411203462339222,3.369001101390422,0.7442131903182224,0.0
c0.85_g0.7_e0,10,round2,0.13383333333333333,3.369001101390422,0.7442131903182224,0.0
c0.85_g0.85_e0,1,clip,0.12910192486413094,3.369001101390422,0.9036874453864129,0.0
c0.85_g0.85_e0,1,round2,0.1287,3.369001101390422,0.9036874453864129,0.0
c0.85_g0.85_e0,2,clip,0.12340136219177697,3.369001101390422,0.9036874453864129,0.0
c0.85_g0.85_e0,2,round2,0.12303333333333333,3.369001101390422,0.9036874453864129,0.0
c0.85_g0.85_e0,3,clip,0.13835331274698204,3.369001101390422,0.9036874453864129,0.0
c0.85_g0.85_e0,3,round2,0.13806666666666667,3.369001101390422,0.9036874453864129,0.0
c0.85_g0.85_e0,4,clip,0.14334775886792409,3.369001101390422,0.9036874453864129,0.0
c0.85_g0.85_e0,4,round2,0.14293333333333336,3.369001101390422,0.9036874453864129,0.0
c0.85_g0.85_e0,5,clip,0.14064344949672133,3.369001101390422,0.9036874453864129,0.0
c0.85_g0.85_e0,5,round2,0.14036666666666667,3.369001101390422,0.9036874453864129,0.0
c0.85_g0.85_e0,6,clip,0.12133503133536411,3.369001101390422,0.9036874453864129,0.0
c0.85_g0.85_e0,6,round2,0.12056666666666667,3.369001101390422,0.9036874453864129,0.0
c0.85_g0.85_e0,7,clip,0.13772148928986264,3.369001101390422,0.9036874453864129,0.0
c0.85_g0.85_e0,7,round2,0.13766666666666666,3.369001101390422,0.9036874453864129,0.0
c0.85_g0.85_e0,8,clip,0.1423226702224801,3.369001101390422,0.9036874453864129,0.0
c0.85_g0.85_e0,8,round2,0.1419,3.369001101390422,0.9036874453864129,0.0
c0.85_g0.85_e0,9,clip,0.14223817987032294,3.369001101390422,0.9036874453864129,0.0
c0.85_g0.85_e0,9,round2,0.14193333333333333,3.369001101390422,0.9036874453864129,0.0
c0.85_g0.85_e0,10,clip,0.13495313403722667,3.369001101390422,0.9036874453864129,0.0
c0.85_g0.85_e0,10,round2,0.13453333333333334,3.369001101390422,0.9036874453864129,0.0
c0.85_g1_e0,1,clip,0.12913517168213956,3.369001101390422,1.0631617004546035,0.0
c0.85_g1_e0,1,round2,0.12886666666666666,3.369001101390422,1.0631617004546035,0.0
c0.85_g1_e0,2,clip,0.12343870002100102,3.369001101390422,1.0631617004546035,0.0
c0.85_g1_e0,2,round2,0.12283333333333334,3.369001101390422,1.0631617004546035,0.0
c0.85_g1_e0,3,clip,0.13836537579473263,3.369001101390422,1.0631617004546035,0.0
c0.85_g1_e0,3,round2,0.13823333333333332,3.369001101390422,1.0631617004546035,0.0
c0.85_g1_e0,4,clip,0.14295134693252973,3.369001101390422,1.0631617004546035,0.0
c0.85_g1_e0,4,round2,0.14276666666666665,3.369001101390422,1.0631617004546035,0.0
c0.85_g1_e0,5,clip,0.14022293474160577,3.369001101390422,1.0631617004546035,0.0
c0.85_g1_e0,5,round2,0.1399,3.369001101390422,1.0631617004546035,0.0
