exp_id,is_integer_grid,unique_classes,exact_class_match_rate,within_1_point_accuracy,within_2_point_accuracy,within_5_point_accuracy,mae_points,target_decile,class_mae,mae
v60_20260617_154808,True,101.0,0.3943333333333333,0.4706666666666667,0.48533333333333334,0.5143333333333333,13.491666666666667,,,
,,,,,,,,0.0,22.225490196078432,0.22225490196078432
,,,,,,,,1.0,17.556603773584907,0.17556603773584906
,,,,,,,,2.0,12.125,0.12125
,,,,,,,,3.0,8.183673469387756,0.08183673469387755
,,,,,,,,4.0,3.35472972972973,0.033547297297297295
,,,,,,,,5.0,2.705298013245033,0.027052980132450343
,,,,,,,,6.0,7.847517730496454,0.07847517730496455
,,,,,,,,7.0,13.531147540983607,0.13531147540983604
,,,,,,,,8.0,20.184563758389263,0.20184563758389262
,,,,,,,,9.0,26.55593220338983,0.2655593220338983
