exp_id,candidate,mean_mae,std_mae,raw_mae,round2_mae,pred_mean,pred_std,pred_min,pred_max,family,add_rules
v83_20260618_104526,extra_trees_leaf5,0.21085666666666664,0.0049847681571209505,0.21085002329608438,0.21085666666666664,0.48059999999999997,0.09493564974513444,0.21,0.76,ensemble_tree,False
v83_20260618_104526,random_forest_leaf5,0.21211000000000002,0.0068792055599322215,0.2121876159273499,0.21211000000000002,0.4807533333333334,0.08789543612413961,0.22,0.74,ensemble_tree,False
v83_20260618_104526,extra_trees_leaf5_rules,0.21264000000000002,0.007080364083545102,0.21263571707755977,0.21264,0.4811033333333333,0.11170067891219539,0.14,0.89,ensemble_tree_rules,True
v83_20260618_104526,hist_gradient_boosting,0.21976,0.007863634067067258,0.21987747004719269,0.21975999999999998,0.4805233333333333,0.09952551380519613,0.18,0.86,boosting,False
v83_20260618_104526,hist_gradient_boosting_rules,0.21995666666666666,0.00883430532737487,0.2198938329880384,0.21995666666666663,0.4812333333333333,0.1025975355795217,0.21,0.92,boosting_rules,True
v83_20260618_104526,decision_tree_depth6_rules,0.24285666666666667,0.007826483214456729,0.2428309420264959,0.24285666666666664,0.4831000000000001,0.07547729641482505,0.24,0.8,tree_rules,True
v83_20260618_104526,ridge_y100_rule_features,0.24358666666666667,0.008552859604097768,0.24364537831496816,0.24358666666666667,0.48233666666666675,0.07002005135259015,0.23,0.79,linear_rules,True
v83_20260618_104526,decision_tree_depth4,0.24501000000000003,0.009663793314975643,0.2450421196034704,0.24500999999999998,0.48174666666666666,0.06812608073648735,0.26,0.73,tree,False
v83_20260618_104526,decision_tree_depth6,0.2453433333333333,0.009899233665314403,0.24536366177160457,0.24534333333333336,0.4822133333333334,0.08989806287934524,0.24,0.8,tree,False
v83_20260618_104526,decision_tree_depth8,0.24706666666666668,0.012247942633986838,0.24708562965218467,0.24706666666666666,0.47817,0.12209908747565422,0.11,0.91,tree,False
v83_20260618_104526,ridge_y100_base,0.2500433333333333,0.006011717981277892,0.2500304541997865,0.2500433333333334,0.48223333333333335,0.03438613612598515,0.33,0.59,linear,False
