run_at,model,postprocess,mean_mae,std_mae,submission_path,exp_id,feature_version,pred_std_oof,pred_min_oof,pred_max_oof,notes
,ridge_ohe_v2,raw,0.2435799429480884,0.0020240212644404,,v2_20260617_010613,v2_scorecard_interactions,0.0798015601041478,0.1599637724245954,0.8762226803784918,Ridge with OHE plus scorecard bins and interactions
,ridge_ohe_v2,clip_0_1,0.2435799429480884,0.0020240212644404,,v2_20260617_010613,v2_scorecard_interactions,0.0798015601041478,0.1599637724245954,0.8762226803784918,Ridge with OHE plus scorecard bins and interactions
,extratrees_ohe_v2,clip_0_1,0.1980479915079365,0.0071008857832168,,v2_20260617_010925,v2_scorecard_interactions,0.1467151208360399,0.0952435714285715,0.9131671428571436,ExtraTrees with OHE plus scorecard bins and interactions
,extratrees_ohe_v2,raw,0.1980479915079365,0.0071008857832168,,v2_20260617_010925,v2_scorecard_interactions,0.1467151208360399,0.0952435714285715,0.9131671428571436,ExtraTrees with OHE plus scorecard bins and interactions
,extratrees_ohe_v2,clip_0_1_round2,0.1981766666666666,0.0070347411703156,,v2_20260617_010925,v2_scorecard_interactions,0.1466944448620479,0.1,0.91,ExtraTrees with OHE plus scorecard bins and interactions
,lightgbm_ohe_v2,clip_0_1_round2,0.2068733333333333,0.0038829685093294,,v2_20260617_010925,v2_scorecard_interactions,0.1268956723870317,0.14,0.91,LightGBM with OHE plus scorecard bins and interactions
,lightgbm_ohe_v2,clip_0_1,0.2068881959683503,0.0039143610241159,,v2_20260617_010925,v2_scorecard_interactions,0.1267796331157752,0.1403889357035984,0.9068410084125904,LightGBM with OHE plus scorecard bins and interactions
,lightgbm_ohe_v2,raw,0.2068881959683503,0.0039143610241159,,v2_20260617_010925,v2_scorecard_interactions,0.1267796331157752,0.1403889357035984,0.9068410084125904,LightGBM with OHE plus scorecard bins and interactions
,xgboost_ohe_v2,clip_0_1_round2,0.2219766666666666,0.0030463685120337,,v2_20260617_010925,v2_scorecard_interactions,0.1016008575000637,0.09,0.95,XGBoost with OHE plus scorecard bins and interactions
,xgboost_ohe_v2,raw,0.2219958043965697,0.0029589181522475,,v2_20260617_010925,v2_scorecard_interactions,0.1015465650177889,0.0882223770022392,0.949494242668152,XGBoost with OHE plus scorecard bins and interactions
