exp_id,candidate,postprocess,mean_mae,std_mae,pred_mean,pred_std,pred_min,pred_max,C,gamma,epsilon
v61_20260617_160621,c0.7_g1.15_e0,round2,0.13490333333333332,0.007996055354646307,0.4770866666666667,0.19499210187976174,0.0,1.0,2.7744714952627008,1.222635955522794,0.0
v61_20260617_160621,c0.85_g1.15_e0,round2,0.13490333333333332,0.007996055354646307,0.4770866666666667,0.19499210187976174,0.0,1.0,3.369001101390422,1.222635955522794,0.0
v61_20260617_160621,c1_g1.15_e0,round2,0.13490333333333332,0.007996055354646307,0.4770866666666667,0.19499210187976174,0.0,1.0,3.963530707518144,1.222635955522794,0.0
v61_20260617_160621,c1.15_g1.15_e0,round2,0.13490333333333332,0.007996055354646307,0.4770866666666667,0.19499210187976174,0.0,1.0,4.558060313645865,1.222635955522794,0.0
v61_20260617_160621,c1.3_g1.15_e0,round2,0.13490333333333332,0.007996055354646307,0.4770866666666667,0.19499210187976174,0.0,1.0,5.152589919773588,1.222635955522794,0.0
v61_20260617_160621,c1_g1_e0,round2,0.13491666666666666,0.008082021657609812,0.47696000000000005,0.19551325669763378,0.0,1.0,3.963530707518144,1.0631617004546035,0.0
v61_20260617_160621,c0.85_g1_e0,round2,0.13491666666666666,0.008082021657609812,0.47696000000000005,0.19551325669763378,0.0,1.0,3.369001101390422,1.0631617004546035,0.0
v61_20260617_160621,c0.7_g1_e0,round2,0.13491666666666666,0.008082021657609812,0.47696000000000005,0.19551325669763378,0.0,1.0,2.7744714952627008,1.0631617004546035,0.0
v61_20260617_160621,c1.15_g1_e0,round2,0.13491666666666666,0.008082021657609812,0.47696000000000005,0.19551325669763378,0.0,1.0,4.558060313645865,1.0631617004546035,0.0
v61_20260617_160621,c1.3_g1_e0,round2,0.13491666666666666,0.008082021657609812,0.47696000000000005,0.19551325669763378,0.0,1.0,5.152589919773588,1.0631617004546035,0.0
v61_20260617_160621,c1.3_g0.85_e0,round2,0.13497,0.008133309805673318,0.47690666666666676,0.196276181443452,0.0,1.0,5.152589919773588,0.9036874453864129,0.0
v61_20260617_160621,c1.15_g0.85_e0,round2,0.13497,0.008133309805673318,0.47690666666666676,0.196276181443452,0.0,1.0,4.558060313645865,0.9036874453864129,0.0
v61_20260617_160621,c1_g0.85_e0,round2,0.13497,0.008133309805673318,0.47690666666666676,0.196276181443452,0.0,1.0,3.963530707518144,0.9036874453864129,0.0
v61_20260617_160621,c0.7_g0.85_e0,round2,0.13497,0.008133309805673318,0.47690666666666676,0.196276181443452,0.0,1.0,2.7744714952627008,0.9036874453864129,0.0
v61_20260617_160621,c0.85_g0.85_e0,round2,0.13497,0.008133309805673318,0.47690666666666676,0.196276181443452,0.0,1.0,3.369001101390422,0.9036874453864129,0.0
v61_20260617_160621,c0.7_g1.3_e0,round2,0.13504999999999998,0.00793854870587538,0.4771666666666667,0.19468060783904087,0.0,1.0,2.7744714952627008,1.3821102105909846,0.0
v61_20260617_160621,c1.3_g1.3_e0,round2,0.13504999999999998,0.00793854870587538,0.4771666666666667,0.19468060783904087,0.0,1.0,5.152589919773588,1.3821102105909846,0.0
v61_20260617_160621,c1.15_g1.3_e0,round2,0.13504999999999998,0.00793854870587538,0.4771666666666667,0.19468060783904087,0.0,1.0,4.558060313645865,1.3821102105909846,0.0
v61_20260617_160621,c1_g1.3_e0,round2,0.13504999999999998,0.00793854870587538,0.4771666666666667,0.19468060783904087,0.0,1.0,3.963530707518144,1.3821102105909846,0.0
v61_20260617_160621,c0.85_g1.3_e0,round2,0.13504999999999998,0.00793854870587538,0.4771666666666667,0.19468060783904087,0.0,1.0,3.369001101390422,1.3821102105909846,0.0
v61_20260617_160621,c1_g1.15_e0_eps0.001,round2,0.13514333333333334,0.007976819038646214,0.4770666666666667,0.19458729907475794,0.0,1.0,3.963530707518144,1.222635955522794,0.001
v61_20260617_160621,c0.7_g1.15_e0_eps0.001,round2,0.13514333333333334,0.007976819038646214,0.4770666666666667,0.19458729907475794,0.0,1.0,2.7744714952627008,1.222635955522794,0.001
v61_20260617_160621,c0.85_g1.15_e0_eps0.001,round2,0.13514333333333334,0.007976819038646214,0.4770666666666667,0.19458729907475794,0.0,1.0,3.369001101390422,1.222635955522794,0.001
v61_20260617_160621,c1.15_g1.15_e0_eps0.001,round2,0.13514333333333334,0.007976819038646214,0.4770666666666667,0.19458729907475794,0.0,1.0,4.558060313645865,1.222635955522794,0.001
v61_20260617_160621,c1.3_g1.15_e0_eps0.001,round2,0.13514333333333334,0.007976819038646214,0.4770666666666667,0.19458729907475794,0.0,1.0,5.152589919773588,1.222635955522794,0.001
v61_20260617_160621,c1.15_g0.7_e0,round2,0.13517666666666667,0.008107092611860555,0.47667333333333334,0.19734313954919047,0.0,1.0,4.558060313645865,0.7442131903182224,0.0
v61_20260617_160621,c1_g0.7_e0,round2,0.13517666666666667,0.008107092611860555,0.47667333333333334,0.19734313954919047,0.0,1.0,3.963530707518144,0.7442131903182224,0.0
v61_20260617_160621,c0.7_g0.7_e0,round2,0.13517666666666667,0.008107092611860555,0.47667333333333334,0.19734313954919047,0.0,1.0,2.7744714952627008,0.7442131903182224,0.0
v61_20260617_160621,c0.85_g0.7_e0,round2,0.13517666666666667,0.008107092611860555,0.47667333333333334,0.19734313954919047,0.0,1.0,3.369001101390422,0.7442131903182224,0.0
v61_20260617_160621,c1.3_g0.7_e0,round2,0.13517666666666667,0.008107092611860555,0.47667333333333334,0.19734313954919047,0.0,1.0,5.152589919773588,0.7442131903182224,0.0
v61_20260617_160621,c1_g1_e0,clip,0.13526386701893617,0.008005456956711203,0.47674151019841376,0.1951252468924219,0.00011098588812891164,1.0,3.963530707518144,1.0631617004546035,0.0
v61_20260617_160621,c0.85_g1_e0,clip,0.13526386701893617,0.008005456956711203,0.47674151019841376,0.1951252468924219,0.00011098588812891164,1.0,3.369001101390422,1.0631617004546035,0.0
v61_20260617_160621,c1.15_g1_e0,clip,0.13526386701893617,0.008005456956711203,0.47674151019841376,0.1951252468924219,0.00011098588812891164,1.0,4.558060313645865,1.0631617004546035,0.0
v61_20260617_160621,c1.3_g1_e0,clip,0.13526386701893617,0.008005456956711203,0.47674151019841376,0.1951252468924219,0.00011098588812891164,1.0,5.152589919773588,1.0631617004546035,0.0
v61_20260617_160621,c0.7_g1_e0,clip,0.13526386701893617,0.008005456956711203,0.47674151019841376,0.1951252468924219,0.00011098588812891164,1.0,2.7744714952627008,1.0631617004546035,0.0
v61_20260617_160621,c1_g1.15_e0,clip,0.13527922669018405,0.007974071369854025,0.47674934065520785,0.1946723496814027,0.0,1.0,3.963530707518144,1.222635955522794,0.0
v61_20260617_160621,c1.15_g1.15_e0,clip,0.13527922669018405,0.007974071369854025,0.47674934065520785,0.1946723496814027,0.0,1.0,4.558060313645865,1.222635955522794,0.0
v61_20260617_160621,c1.3_g1.15_e0,clip,0.13527922669018405,0.007974071369854025,0.47674934065520785,0.1946723496814027,0.0,1.0,5.152589919773588,1.222635955522794,0.0
v61_20260617_160621,c0.7_g1.15_e0,clip,0.13527922669018405,0.007974071369854025,0.47674934065520785,0.1946723496814027,0.0,1.0,2.7744714952627008,1.222635955522794,0.0
v61_20260617_160621,c0.85_g1.15_e0,clip,0.13527922669018405,0.007974071369854025,0.47674934065520785,0.1946723496814027,0.0,1.0,3.369001101390422,1.222635955522794,0.0
v61_20260617_160621,c0.85_g0.85_e0,clip,0.1353418312922792,0.008035188760212007,0.47674181885654887,0.19577333776261274,0.0,0.9999591902292796,3.369001101390422,0.9036874453864129,0.0
v61_20260617_160621,c0.7_g0.85_e0,clip,0.1353418312922792,0.008035188760212007,0.47674181885654887,0.19577333776261274,0.0,0.9999591902292796,2.7744714952627008,0.9036874453864129,0.0
v61_20260617_160621,c1_g0.85_e0,clip,0.1353418312922792,0.008035188760212007,0.47674181885654887,0.19577333776261274,0.0,0.9999591902292796,3.963530707518144,0.9036874453864129,0.0
v61_20260617_160621,c1.3_g0.85_e0,clip,0.1353418312922792,0.008035188760212007,0.47674181885654887,0.19577333776261274,0.0,0.9999591902292796,5.152589919773588,0.9036874453864129,0.0
v61_20260617_160621,c1.15_g0.85_e0,clip,0.1353418312922792,0.008035188760212007,0.47674181885654887,0.19577333776261274,0.0,0.9999591902292796,4.558060313645865,0.9036874453864129,0.0
v61_20260617_160621,c0.7_g1.3_e0,clip,0.13537356201690492,0.007963457408191614,0.4767533994076748,0.19430300031038675,9.114903326556956e-08,1.0,2.7744714952627008,1.3821102105909846,0.0
v61_20260617_160621,c0.85_g1.3_e0,clip,0.13537356201690492,0.007963457408191614,0.4767533994076748,0.19430300031038675,9.114903326556956e-08,1.0,3.369001101390422,1.3821102105909846,0.0
v61_20260617_160621,c1.3_g1.3_e0,clip,0.13537356201690492,0.007963457408191614,0.4767533994076748,0.19430300031038675,9.114903326556956e-08,1.0,5.152589919773588,1.3821102105909846,0.0
v61_20260617_160621,c1_g1.3_e0,clip,0.13537356201690492,0.007963457408191614,0.4767533994076748,0.19430300031038675,9.114903326556956e-08,1.0,3.963530707518144,1.3821102105909846,0.0
v61_20260617_160621,c1.15_g1.3_e0,clip,0.13537356201690492,0.007963457408191614,0.4767533994076748,0.19430300031038675,9.114903326556956e-08,1.0,4.558060313645865,1.3821102105909846,0.0
v61_20260617_160621,c0.7_g1.15_e0_eps0.002,round2,0.13550333333333336,0.007976809752473755,0.47706000000000004,0.1940574893420072,0.0,1.0,2.7744714952627008,1.222635955522794,0.002
v61_20260617_160621,c0.85_g1.15_e0_eps0.002,round2,0.13550333333333336,0.007976809752473755,0.47706000000000004,0.1940574893420072,0.0,1.0,3.369001101390422,1.222635955522794,0.002
v61_20260617_160621,c1_g1.15_e0_eps0.002,round2,0.13550333333333336,0.007976809752473755,0.47706000000000004,0.1940574893420072,0.0,1.0,3.963530707518144,1.222635955522794,0.002
v61_20260617_160621,c1.15_g1.15_e0_eps0.002,round2,0.13550333333333336,0.007976809752473755,0.47706000000000004,0.1940574893420072,0.0,1.0,4.558060313645865,1.222635955522794,0.002
v61_20260617_160621,c1.3_g1.15_e0_eps0.002,round2,0.13550333333333336,0.007976809752473755,0.47706000000000004,0.1940574893420072,0.0,1.0,5.152589919773588,1.222635955522794,0.002
v61_20260617_160621,c0.7_g0.7_e0,clip,0.13559349476507526,0.00806417154657337,0.47672141272108387,0.19688199520777458,0.0,1.0,2.7744714952627008,0.7442131903182224,0.0
v61_20260617_160621,c1.15_g0.7_e0,clip,0.13559349476507526,0.00806417154657337,0.47672141272108387,0.19688199520777458,0.0,1.0,4.558060313645865,0.7442131903182224,0.0
v61_20260617_160621,c1_g0.7_e0,clip,0.13559349476507526,0.00806417154657337,0.47672141272108387,0.19688199520777458,0.0,1.0,3.963530707518144,0.7442131903182224,0.0
v61_20260617_160621,c1.3_g0.7_e0,clip,0.13559349476507526,0.00806417154657337,0.47672141272108387,0.19688199520777458,0.0,1.0,5.152589919773588,0.7442131903182224,0.0
v61_20260617_160621,c0.85_g0.7_e0,clip,0.13559349476507526,0.00806417154657337,0.47672141272108387,0.19688199520777458,0.0,1.0,3.369001101390422,0.7442131903182224,0.0
v61_20260617_160621,c1_g1.15_e0_eps0.001,clip,0.13570573946092213,0.007955926063152496,0.4767775487675635,0.19409403607349962,0.0010136693537522445,0.9990348896550678,3.963530707518144,1.222635955522794,0.001
v61_20260617_160621,c0.85_g1.15_e0_eps0.001,clip,0.13570573946092213,0.007955926063152496,0.4767775487675635,0.19409403607349962,0.0010136693537522445,0.9990348896550678,3.369001101390422,1.222635955522794,0.001
v61_20260617_160621,c1.3_g1.15_e0_eps0.001,clip,0.13570573946092213,0.007955926063152496,0.4767775487675635,0.19409403607349962,0.0010136693537522445,0.9990348896550678,5.152589919773588,1.222635955522794,0.001
v61_20260617_160621,c0.7_g1.15_e0_eps0.001,clip,0.13570573946092213,0.007955926063152496,0.4767775487675635,0.19409403607349962,0.0010136693537522445,0.9990348896550678,2.7744714952627008,1.222635955522794,0.001
v61_20260617_160621,c1.15_g1.15_e0_eps0.001,clip,0.13570573946092213,0.007955926063152496,0.4767775487675635,0.19409403607349962,0.0010136693537522445,0.9990348896550678,4.558060313645865,1.222635955522794,0.001
v61_20260617_160621,c1.3_g1.15_e0_eps0.002,clip,0.13615233083596395,0.007934684975570037,0.4768101355703546,0.19351758807966835,0.002080862810018791,0.9978660686342731,5.152589919773588,1.222635955522794,0.002
v61_20260617_160621,c1.15_g1.15_e0_eps0.002,clip,0.13615233083596395,0.007934684975570037,0.4768101355703546,0.19351758807966835,0.002080862810018791,0.9978660686342731,4.558060313645865,1.222635955522794,0.002
v61_20260617_160621,c1_g1.15_e0_eps0.002,clip,0.13615233083596395,0.007934684975570037,0.4768101355703546,0.19351758807966835,0.002080862810018791,0.9978660686342731,3.963530707518144,1.222635955522794,0.002
v61_20260617_160621,c0.85_g1.15_e0_eps0.002,clip,0.13615233083596395,0.007934684975570037,0.4768101355703546,0.19351758807966835,0.002080862810018791,0.9978660686342731,3.369001101390422,1.222635955522794,0.002
v61_20260617_160621,c0.7_g1.15_e0_eps0.002,clip,0.13615233083596395,0.007934684975570037,0.4768101355703546,0.19351758807966835,0.002080862810018791,0.9978660686342731,2.7744714952627008,1.222635955522794,0.002
v61_20260617_160621,c0.7_g1.15_e0_eps0.005,clip,0.13750360007223822,0.00787727982614109,0.4769027572069375,0.1917770006991236,0.0049114221109148315,0.994918287206071,2.7744714952627008,1.222635955522794,0.005
v61_20260617_160621,c0.85_g1.15_e0_eps0.005,clip,0.13750360007223822,0.00787727982614109,0.4769027572069375,0.1917770006991236,0.0049114221109148315,0.994918287206071,3.369001101390422,1.222635955522794,0.005
v61_20260617_160621,c1.15_g1.15_e0_eps0.005,clip,0.13750360007223822,0.00787727982614109,0.4769027572069375,0.1917770006991236,0.0049114221109148315,0.994918287206071,4.558060313645865,1.222635955522794,0.005
v61_20260617_160621,c1_g1.15_e0_eps0.005,clip,0.13750360007223822,0.00787727982614109,0.4769027572069375,0.1917770006991236,0.0049114221109148315,0.994918287206071,3.963530707518144,1.222635955522794,0.005
v61_20260617_160621,c1.3_g1.15_e0_eps0.005,clip,0.13750360007223822,0.00787727982614109,0.4769027572069375,0.1917770006991236,0.0049114221109148315,0.994918287206071,5.152589919773588,1.222635955522794,0.005
v61_20260617_160621,c0.7_g1.15_e0_eps0.005,round2,0.1382666666666667,0.00783546858211011,0.4773566666666667,0.19088266427152403,0.0,0.99,2.7744714952627008,1.222635955522794,0.005
v61_20260617_160621,c0.85_g1.15_e0_eps0.005,round2,0.1382666666666667,0.00783546858211011,0.4773566666666667,0.19088266427152403,0.0,0.99,3.369001101390422,1.222635955522794,0.005
v61_20260617_160621,c1_g1.15_e0_eps0.005,round2,0.1382666666666667,0.00783546858211011,0.4773566666666667,0.19088266427152403,0.0,0.99,3.963530707518144,1.222635955522794,0.005
v61_20260617_160621,c1.15_g1.15_e0_eps0.005,round2,0.1382666666666667,0.00783546858211011,0.4773566666666667,0.19088266427152403,0.0,0.99,4.558060313645865,1.222635955522794,0.005
v61_20260617_160621,c1.3_g1.15_e0_eps0.005,round2,0.1382666666666667,0.00783546858211011,0.4773566666666667,0.19088266427152403,0.0,0.99,5.152589919773588,1.222635955522794,0.005
