group_col,group_value,count,residual_mean,residual_median,residual_mae,y100_mean,pred100_mean,exp_id
sleep_pattern,normal,1557,0.6679511881824021,0.0,13.096981374438021,48.60179833012203,47.93384714193963,v8_20260618_102726
sleep_pattern,oversleeping,424,-0.014150943396226415,0.0,12.94811320754717,45.323113207547166,45.3372641509434,v8_20260618_102726
sleep_pattern,sleep difficulty,1019,0.5426889106967615,0.0,14.10107948969578,48.82139352306182,48.27870461236506,v8_20260618_102726
activity,intense,675,0.6074074074074074,0.0,14.405925925925926,48.48,47.87259259259259,v8_20260618_102726
activity,light,894,-0.20805369127516776,0.0,13.975391498881432,47.26845637583892,47.47651006711409,v8_20260618_102726
activity,moderate,1431,0.9524807826694619,0.0,12.60167714884696,48.677148846960165,47.724668064290704,v8_20260618_102726
smoke_status,current-smoker,784,1.8724489795918366,0.0,13.813775510204081,49.47704081632653,47.60459183673469,v8_20260618_102726
smoke_status,ex-smoker,1177,0.32710280373831774,0.0,13.23109600679694,47.066270178419714,46.739167374681394,v8_20260618_102726
smoke_status,non-smoker,1039,-0.25601539942252166,0.0,13.328200192492782,48.55822906641001,48.81424446583253,v8_20260618_102726
medical_history,__MISSING__,1289,0.295577967416602,0.0,14.033359193173002,46.540729247478666,46.24515128006206,v8_20260618_102726
medical_history,diabetes,506,1.7865612648221343,0.0,12.707509881422926,49.77865612648221,47.99209486166008,v8_20260618_102726
medical_history,heart disease,508,-1.1515748031496063,0.0,13.466535433070867,48.21456692913386,49.36614173228347,v8_20260618_102726
medical_history,high blood pressure,697,1.272596843615495,0.0,12.75609756097561,50.16786226685796,48.89526542324247,v8_20260618_102726
family_medical_history,__MISSING__,1486,0.08546433378196501,0.0,13.237550471063257,47.09017496635263,47.00471063257066,v8_20260618_102726
family_medical_history,diabetes,615,0.26991869918699185,0.0,14.373983739837398,49.20650406504065,48.93658536585366,v8_20260618_102726
family_medical_history,heart disease,419,1.4630071599045347,0.0,13.214797136038186,48.47732696897375,47.014319809069214,v8_20260618_102726
family_medical_history,high blood pressure,480,1.41875,0.0,12.922916666666667,50.18541666666667,48.766666666666666,v8_20260618_102726
edu_level,__MISSING__,607,1.6194398682042834,0.0,13.635914332784184,51.12355848434926,49.50411861614498,v8_20260618_102726
edu_level,bachelors degree,880,-0.3784090909090909,0.0,13.389772727272728,46.57954545454545,46.95795454545455,v8_20260618_102726
edu_level,graduate degree,589,0.9592529711375212,0.0,13.69609507640068,48.555178268251275,47.59592529711375,v8_20260618_102726
edu_level,high school diploma,924,0.4025974025974026,0.0,13.121212121212121,47.63852813852814,47.23593073593074,v8_20260618_102726
mean_working_group,10,346,0.17341040462427737,0.0,13.809248554913294,46.774566473988436,46.60115606936416,v8_20260618_102726
mean_working_group,11,120,8.358333333333333,0.0,13.341666666666667,59.641666666666666,51.28333333333333,v8_20260618_102726
mean_working_group,7,318,-1.1069182389937107,0.0,13.635220125786164,46.57232704402516,47.679245283018865,v8_20260618_102726
mean_working_group,8,451,1.1995565410199556,0.0,14.702882483370288,48.23281596452328,47.033259423503324,v8_20260618_102726
mean_working_group,9,537,-0.9310986964618249,0.0,13.84729981378026,46.109869646182496,47.04096834264432,v8_20260618_102726
mean_working_group,<=6,119,-8.22689075630252,0.0,10.210084033613445,31.168067226890756,39.39495798319328,v8_20260618_102726
mean_working_group,>=12,77,12.883116883116884,2.0,13.454545454545455,72.36363636363636,59.48051948051948,v8_20260618_102726
mean_working_group,missing,1032,0.7965116279069767,0.0,12.80813953488372,49.12112403100775,48.32461240310077,v8_20260618_102726
