exp_id,model,scaler,n_splits,fold,postprocess,mae
v7_20260617_181613,mlp_tanh_medium_l2_1e4,standard,5,2,clip_0_1,0.24792064229796115
v7_20260617_181613,mlp_tanh_medium_l2_1e4,standard,5,2,clip_0_1_round2,0.24763333333333332
v7_20260617_181613,mlp_tanh_medium_l2_1e4,standard,5,3,raw,0.24485124939116862
v7_20260617_181613,mlp_tanh_medium_l2_1e4,standard,5,3,clip_0_1,0.24485124939116862
v7_20260617_181613,mlp_tanh_medium_l2_1e4,standard,5,3,clip_0_1_round2,0.24508333333333335
v7_20260617_181613,mlp_tanh_medium_l2_1e4,standard,5,4,raw,0.25730450817823936
v7_20260617_181613,mlp_tanh_medium_l2_1e4,standard,5,4,clip_0_1,0.25730450817823936
v7_20260617_181613,mlp_tanh_medium_l2_1e4,standard,5,4,clip_0_1_round2,0.2572499999999999
v7_20260617_181613,mlp_tanh_medium_l2_1e4,standard,5,5,raw,0.2494451841860992
v7_20260617_181613,mlp_tanh_medium_l2_1e4,standard,5,5,clip_0_1,0.24930371815944605
v7_20260617_181613,mlp_tanh_medium_l2_1e4,standard,5,5,clip_0_1_round2,0.24933333333333338
v7_20260617_181613,mlp_small_lbfgs,standard,5,1,raw,0.21324066467596453
v7_20260617_181613,mlp_small_lbfgs,standard,5,1,clip_0_1,0.19338306035933603
v7_20260617_181613,mlp_small_lbfgs,standard,5,1,clip_0_1_round2,0.1933166666666667
v7_20260617_181613,mlp_small_lbfgs,standard,5,2,raw,0.26057074190242513
v7_20260617_181613,mlp_small_lbfgs,standard,5,2,clip_0_1,0.22752459891969048
v7_20260617_181613,mlp_small_lbfgs,standard,5,2,clip_0_1_round2,0.22746666666666665
v7_20260617_181613,mlp_small_lbfgs,standard,5,3,raw,0.266267433002877
v7_20260617_181613,mlp_small_lbfgs,standard,5,3,clip_0_1,0.23150142156988096
v7_20260617_181613,mlp_small_lbfgs,standard,5,3,clip_0_1_round2,0.23141666666666666
v7_20260617_181613,mlp_small_lbfgs,standard,5,4,raw,0.26370145422532915
v7_20260617_181613,mlp_small_lbfgs,standard,5,4,clip_0_1,0.23667139417592598
v7_20260617_181613,mlp_small_lbfgs,standard,5,4,clip_0_1_round2,0.23653333333333332
v7_20260617_181613,mlp_small_lbfgs,standard,5,5,raw,0.24857211029552312
