exp_id,candidate,max_depth,min_samples_leaf,rule,count,residual_mean,residual_median,residual_mae,y_mean,pred_mean
v56_20260617_150011,sentinel150,4,50,cat__mean_working_group_>=12 > 0.5000,77,13.012987012987013,2.0,13.61038961038961,0.7236363636363637,0.5935064935064935
v56_20260617_150011,sentinel150,4,50,cat__mean_working_group_>=12 <= 0.5000 AND cat__mean_working_group_<=6 <= 0.5000 AND cat__mean_working_group_11 <= 0.5000 AND num__glucose_cholesterol_ratio <= 0.7131,2583,0.454123112659698,0.0,13.54123112659698,0.48014711575687186,0.47560588463027487
v56_20260617_150011,sentinel150,4,50,cat__mean_working_group_>=12 <= 0.5000 AND cat__mean_working_group_<=6 <= 0.5000 AND cat__mean_working_group_11 > 0.5000 AND num__weight > 71.4400,52,2.5576923076923075,0.0,8.942307692307692,0.5384615384615384,0.5128846153846154
v56_20260617_150011,sentinel150,4,50,cat__mean_working_group_>=12 <= 0.5000 AND cat__mean_working_group_<=6 > 0.5000 AND num__glucose <= 127.5850,68,-5.1911764705882355,0.0,7.632352941176471,0.3213235294117648,0.3732352941176471
v56_20260617_150011,sentinel150,4,80,cat__mean_working_group_<=6 <= 0.5000 AND cat__mean_working_group_11 <= 0.5000 AND num__glucose_cholesterol_ratio > 0.7131,104,-6.125,0.0,15.663461538461538,0.4173076923076924,0.47855769230769235
v56_20260617_150011,sentinel150,4,80,cat__mean_working_group_<=6 <= 0.5000 AND cat__mean_working_group_11 <= 0.5000 AND num__glucose_cholesterol_ratio <= 0.7131 AND num__height <= 178.2000,2190,0.28036529680365296,0.0,13.765296803652967,0.47935159817351597,0.4765479452054794
v56_20260617_150011,sentinel150,4,80,cat__mean_working_group_<=6 <= 0.5000 AND cat__mean_working_group_11 > 0.5000,120,8.425,0.0,13.475,0.5964166666666667,0.5121666666666668
v56_20260617_150011,sentinel150,4,80,cat__mean_working_group_<=6 <= 0.5000 AND cat__mean_working_group_11 <= 0.5000 AND num__glucose_cholesterol_ratio <= 0.7131 AND num__height > 178.2000,467,3.314775160599572,0.0,12.535331905781584,0.5236616702355461,0.49051391862955035
v56_20260617_150011,sentinel150,4,80,cat__mean_working_group_<=6 > 0.5000,119,-8.285714285714286,0.0,10.252100840336135,0.31168067226890767,0.39453781512605046
v56_20260617_150011,sentinel150,4,100,cat__mean_working_group_<=6 <= 0.5000 AND cat__mean_working_group_11 <= 0.5000 AND num__glucose_cholesterol_ratio > 0.7131,104,-6.125,0.0,15.663461538461538,0.4173076923076924,0.47855769230769235
v56_20260617_150011,sentinel150,4,100,cat__mean_working_group_<=6 <= 0.5000 AND cat__mean_working_group_11 <= 0.5000 AND num__glucose_cholesterol_ratio <= 0.7131 AND num__height <= 178.2000,2190,0.28036529680365296,0.0,13.765296803652967,0.47935159817351597,0.4765479452054794
v56_20260617_150011,sentinel150,4,100,cat__mean_working_group_<=6 <= 0.5000 AND cat__mean_working_group_11 > 0.5000,120,8.425,0.0,13.475,0.5964166666666667,0.5121666666666668
v56_20260617_150011,sentinel150,4,100,cat__mean_working_group_<=6 <= 0.5000 AND cat__mean_working_group_11 <= 0.5000 AND num__glucose_cholesterol_ratio <= 0.7131 AND num__height > 178.2000,467,3.314775160599572,0.0,12.535331905781584,0.5236616702355461,0.49051391862955035
v56_20260617_150011,sentinel150,4,100,cat__mean_working_group_<=6 > 0.5000,119,-8.285714285714286,0.0,10.252100840336135,0.31168067226890767,0.39453781512605046
v56_20260617_150011,sentinel99,2,50,cat__mean_working_group_>=12 <= 0.5000 AND cat__mean_working_group_<=6 <= 0.5000,2804,0.5477888730385164,0.0,13.625534950071327,0.48273181169757484,0.4772539229671897
v56_20260617_150011,sentinel99,2,50,cat__mean_working_group_>=12 > 0.5000,77,13.012987012987013,2.0,13.61038961038961,0.7236363636363637,0.5935064935064935
