exp_id,surrogate,mae_to_rbf_oof,correlation_to_rbf_oof,r2_to_rbf_oof
v8_20260618_102726,decision_tree_depth4,0.12432008604090695,0.19280478452238647,0.03717368493472406
v8_20260618_102726,extra_trees_leaf5,0.06005537574810374,0.968691465420423,0.8041171415635562
