exp_id,strategy,splitter,n_splits,seed,mean_mae,std_mae,min_fold_mae,max_fold_mae,fold_mae_range,mean_valid_size,target_mean_std_across_folds,target_std_mean_across_folds,oof_mae,pred_mean,pred_std,pred_min,pred_max,endpoint_0_count,endpoint_1_count,delta_vs_10fold_reference
v532_foldcheck_20260618_132050,kfold_20_seed42,kfold,20,42,0.12732333333333334,0.01102915381695843,0.1052,0.14880000000000002,0.043600000000000014,150.0,0.02920013999005138,0.2876993135504661,0.12732333333333332,0.4756533333333334,0.2018699836998934,0.0,1.0,16,12,-0.006846666666666668
v532_foldcheck_20260618_132050,kfold_15_seed42,kfold,15,42,0.13101333333333331,0.00990002645499111,0.1117,0.14485,0.03315000000000001,200.0,0.025111947924671807,0.2877843598344984,0.13101333333333331,0.47640333333333335,0.198973936814346,0.0,1.0,15,12,-0.0031566666666666965
v532_foldcheck_20260618_132050,kfold_10_seed42,kfold,10,42,0.13417,0.007928078714213516,0.1201,0.14186666666666667,0.02176666666666667,300.0,0.01817821549323581,0.28812516719636394,0.13416999999999998,0.47684,0.19651841532670886,0.0,1.0,14,12,0.0
v532_foldcheck_20260618_132050,stratified_10_seed42,stratified,10,42,0.13460666666666668,0.011167974495000767,0.12056666666666667,0.15473333333333333,0.034166666666666665,300.0,0.00282700600688483,0.2886652724352671,0.13460666666666668,0.47835666666666665,0.19662965322927578,0.0,1.0,16,12,0.00043666666666666853
v532_foldcheck_20260618_132050,stratified_5_seed42,stratified,5,42,0.14432666666666666,0.005341732968907284,0.13828333333333334,0.15246666666666664,0.014183333333333298,600.0,0.0008726874201759439,0.2884425588262588,0.1443266666666667,0.47786333333333336,0.18857108564235311,0.0,1.0,14,10,0.010156666666666647
v532_foldcheck_20260618_132050,kfold_5_seed42,kfold,5,42,0.14905,0.008867669116264736,0.13473333333333334,0.1585,0.023766666666666658,600.0,0.009607920632940784,0.28828644342545745,0.14905,0.4788666666666667,0.18351296382413804,0.0,1.0,11,12,0.014879999999999977
