exp_id,candidate,seed,n_splits,postprocess,mean_mae,std_mae,pred_mean,pred_std,pred_min,pred_max,notes
v54_20260617_135051,sentinel_999,2024,5,round2,0.14644333333333334,0.0100749869037687,0.47685999999999995,0.18548389460647555,0.0,1.0,5-fold stability check on alternate seed
v54_20260617_135051,sentinel_999,777,5,round2,0.1455866666666667,0.007493510155090496,0.47427666666666674,0.18702656611927357,0.0,1.0,5-fold stability check on alternate seed
v54_20260617_135051,sentinel_150,2024,5,round2,0.14645000000000002,0.010094814400363066,0.47685999999999995,0.1854540503779859,0.0,1.0,5-fold stability check on alternate seed
v54_20260617_135051,sentinel_150,777,5,round2,0.14558,0.007480255491774475,0.4742766666666666,0.187007310107297,0.0,1.0,5-fold stability check on alternate seed
v54_20260617_135051,sentinel_99,2024,5,round2,0.14645999999999998,0.010083709359379838,0.4768633333333333,0.18543765447391697,0.0,1.0,5-fold stability check on alternate seed
v54_20260617_135051,sentinel_99,777,5,round2,0.14558666666666667,0.0074647542193668716,0.47426999999999997,0.18698659959867844,0.0,1.0,5-fold stability check on alternate seed
