exp_id,variable,value,pred_mean,pred_std,notes
v55_20260617_142824,glucose,136.42,0.47714096365079545,0.13438103457848902,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,glucose,141.56,0.47723560253968433,0.133721412753525,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,glucose,147.1670909090909,0.47653171769841446,0.13165242780368352,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,glucose,155.96,0.483942180238097,0.12425344262469393,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,cholesterol,194.87,0.46937003587301757,0.12343016279933014,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,cholesterol,206.4655,0.4713744045238112,0.12758371297490753,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,cholesterol,214.25,0.4743050426190493,0.13228135777006816,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,cholesterol,220.3540909090909,0.47690708492063666,0.13578390554532047,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,cholesterol,226.02645454545453,0.47947911142857325,0.13816491676087783,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,cholesterol,231.58813636363635,0.4816973124603192,0.13974849805675288,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,cholesterol,236.14186363636364,0.48340673523809696,0.14107917435878206,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,cholesterol,240.98,0.4834375538888906,0.14072881733874576,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,cholesterol,246.67863636363637,0.4823131239682557,0.1384729266199907,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,cholesterol,253.73913636363633,0.4805560026984144,0.1351024653499421,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,cholesterol,261.38,0.47797065515873194,0.13118732216760515,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,cholesterol,273.805,0.46645790658730324,0.12390362188772318,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,systolic_blood_pressure,121.0,0.4722004715079382,0.1232790366047579,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,systolic_blood_pressure,128.0,0.4715760285714302,0.13095581129690415,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,systolic_blood_pressure,133.0,0.47483929150793824,0.1332674317050653,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,systolic_blood_pressure,137.0,0.4765333236507954,0.134333370166147,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,systolic_blood_pressure,141.0,0.47819537365079545,0.13584665402579463,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,systolic_blood_pressure,144.0,0.4786927738095255,0.1358216950049811,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,systolic_blood_pressure,148.0,0.4795357046031764,0.13482355115690287,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,systolic_blood_pressure,151.0,0.4804130238095256,0.1341319396625382,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,systolic_blood_pressure,155.0,0.4771292970634938,0.13223162243867517,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,systolic_blood_pressure,160.0,0.4735520285714303,0.1298704053858157,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,systolic_blood_pressure,164.0,0.4694619703968271,0.12718268446903339,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,systolic_blood_pressure,173.0,0.46101770103174755,0.11901744681741822,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,diastolic_blood_pressure,80.0,0.47870452301587474,0.12178715109257879,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,diastolic_blood_pressure,84.0,0.47683622182539853,0.12734857149269035,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,diastolic_blood_pressure,88.0,0.4760305013492081,0.13146534718217565,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,diastolic_blood_pressure,90.0,0.4744865442857161,0.1337548132472856,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,diastolic_blood_pressure,92.44090909090892,0.47409257055555737,0.13531865719492367,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,diastolic_blood_pressure,94.0,0.473770660238097,0.1362695527671651,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,diastolic_blood_pressure,96.0,0.47230836388889064,0.135960529651045,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,diastolic_blood_pressure,99.0,0.4688228051587319,0.13547176891064866,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,diastolic_blood_pressure,101.0,0.4684255058730176,0.13370892911591556,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,diastolic_blood_pressure,104.0,0.47094017293650964,0.1293107267676521,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,diastolic_blood_pressure,107.0,0.4734843961904779,0.12281737224985449,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,diastolic_blood_pressure,112.0,0.48427195539682716,0.11376741849231961,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,bone_density,0.23,0.479684939285716,0.152088563893551,Surrogate PDP-style effect shape for RBF prediction.
v55_20260617_142824,bone_density,0.39,0.47555512857143034,0.15642122198096275,Surrogate PDP-style effect shape for RBF prediction.
