missing_pattern_code,count,y_mean,residual_mean,residual_median,residual_mae,candidate_flag
MW0_MED1_FAM0_EDU1,23,0.6039130434782608,11.521739130434783,13.0,20.82608695652174,0
MW1_MED0_FAM1_EDU1,33,0.5045454545454545,-5.03030303030303,0.0,10.181818181818182,1
MW0_MED0_FAM1_EDU1,57,0.6256140350877193,4.719298245614035,0.0,12.157894736842104,0
MW0_MED0_FAM0_EDU1,163,0.5077914110429448,2.5460122699386503,0.0,15.294478527607362,0
MW0_MED1_FAM0_EDU0,89,0.42842696629213484,-2.1123595505617976,0.0,12.853932584269662,0
MW1_MED1_FAM0_EDU1,14,0.47214285714285714,1.8571428571428574,0.0,19.285714285714285,0
MW1_MED1_FAM0_EDU0,56,0.5392857142857143,1.6428571428571426,0.0,12.535714285714286,0
MW1_MED0_FAM0_EDU0,366,0.5023497267759564,1.639344262295082,0.0,12.3224043715847,0
MW1_MED1_FAM1_EDU1,78,0.45974358974358975,0.7307692307692307,0.0,12.26923076923077,0
MW0_MED0_FAM1_EDU0,197,0.4590355329949239,-0.7055837563451777,0.0,11.304568527918782,0
MW1_MED1_FAM1_EDU0,280,0.47110714285714284,0.5750000000000001,0.0,14.632142857142858,0
MW0_MED1_FAM1_EDU1,126,0.4998412698412698,0.484126984126984,0.0,12.674603174603174,0
MW1_MED0_FAM0_EDU1,113,0.4946902654867257,0.4336283185840708,0.0,13.053097345132743,0
MW1_MED0_FAM1_EDU0,92,0.4993478260869565,-0.3260869565217393,0.0,10.173913043478262,0
MW0_MED0_FAM0_EDU0,690,0.48589855072463767,0.26666666666666666,0.0,13.889855072463767,0
MW0_MED1_FAM1_EDU0,623,0.449967897271268,-0.16853932584269668,0.0,14.406099518459069,0
