exp_id,group_col,fold,group_value,fit_offset100
v81_20260618_103517,sleep_pattern,4,normal,0.8618233618233618
v81_20260618_103517,sleep_pattern,4,oversleeping,0.09819121447028424
v81_20260618_103517,sleep_pattern,4,sleep difficulty,0.5555555555555556
v81_20260618_103517,sleep_pattern,5,normal,0.7770609318996415
v81_20260618_103517,sleep_pattern,5,oversleeping,-0.112565445026178
v81_20260618_103517,sleep_pattern,5,sleep difficulty,0.7486457204767064
v81_20260618_103517,sleep_pattern,6,normal,0.495042492917847
v81_20260618_103517,sleep_pattern,6,oversleeping,-0.15223097112860895
v81_20260618_103517,sleep_pattern,6,sleep difficulty,0.3671444321940463
v81_20260618_103517,sleep_pattern,7,normal,0.44938980617372576
v81_20260618_103517,sleep_pattern,7,oversleeping,0.227390180878553
v81_20260618_103517,sleep_pattern,7,sleep difficulty,0.6869565217391305
v81_20260618_103517,sleep_pattern,8,normal,0.5522922636103151
v81_20260618_103517,sleep_pattern,8,oversleeping,0.1076115485564304
v81_20260618_103517,sleep_pattern,8,sleep difficulty,0.6554712892741061
v81_20260618_103517,sleep_pattern,9,normal,0.9183238636363636
v81_20260618_103517,sleep_pattern,9,oversleeping,0.35170603674540685
v81_20260618_103517,sleep_pattern,9,sleep difficulty,0.4654226125137212
v81_20260618_103517,sleep_pattern,10,normal,0.3717948717948718
v81_20260618_103517,sleep_pattern,10,oversleeping,-0.46923076923076923
v81_20260618_103517,sleep_pattern,10,sleep difficulty,0.3200883002207506
v81_20260618_103517,activity,1,intense,0.5139573070607554
v81_20260618_103517,activity,1,light,0.14091470951792331
v81_20260618_103517,activity,1,moderate,0.8611544461778471
v81_20260618_103517,activity,2,intense,0.3278955954323002
v81_20260618_103517,activity,2,light,-0.26826196473551633
v81_20260618_103517,activity,2,moderate,1.0641918020108276
v81_20260618_103517,activity,3,intense,0.5752066115702479
v81_20260618_103517,activity,3,light,-0.3379052369077306
v81_20260618_103517,activity,3,moderate,1.2443928847641144
v81_20260618_103517,activity,4,intense,0.8415841584158416
v81_20260618_103517,activity,4,light,-0.15624999999999997
v81_20260618_103517,activity,4,moderate,1.0571870170015456
v81_20260618_103517,activity,5,intense,0.5792079207920792
v81_20260618_103517,activity,5,light,-0.6115906288532675
v81_20260618_103517,activity,5,moderate,1.4629773967264224
v81_20260618_103517,activity,6,intense,0.4768976897689769
v81_20260618_103517,activity,6,light,-0.2869352869352869
v81_20260618_103517,activity,6,moderate,0.7215686274509804
v81_20260618_103517,activity,7,intense,0.6480263157894737
v81_20260618_103517,activity,7,light,0.3737500000000001
v81_20260618_103517,activity,7,moderate,0.5054179566563467
v81_20260618_103517,activity,8,intense,0.7328881469115192
v81_20260618_103517,activity,8,light,0.006172839506172839
v81_20260618_103517,activity,8,moderate,0.7536793183578622
v81_20260618_103517,activity,9,intense,1.2411003236245954
v81_20260618_103517,activity,9,light,-0.13801756587202005
v81_20260618_103517,activity,9,moderate,0.9291828793774319
v81_20260618_103517,activity,10,intense,0.1289256198347107
v81_20260618_103517,activity,10,light,-0.7985074626865671
v81_20260618_103517,activity,10,moderate,0.9240898528272656
v81_20260618_103517,smoke_status,1,current-smoker,1.8690140845070422
v81_20260618_103517,smoke_status,1,ex-smoker,0.13072519083969464
v81_20260618_103517,smoke_status,1,non-smoker,0.0711252653927813
v81_20260618_103517,smoke_status,2,current-smoker,1.6193181818181819
v81_20260618_103517,smoke_status,2,ex-smoker,0.42681775259678945
v81_20260618_103517,smoke_status,2,non-smoker,-0.24332977588046958
v81_20260618_103517,smoke_status,3,current-smoker,1.774468085106383
v81_20260618_103517,smoke_status,3,ex-smoker,0.4386792452830189
v81_20260618_103517,smoke_status,3,non-smoker,-0.032085561497326186
v81_20260618_103517,smoke_status,4,current-smoker,2.318051575931232
v81_20260618_103517,smoke_status,4,ex-smoker,0.3780487804878049
v81_20260618_103517,smoke_status,4,non-smoker,-0.2863247863247863
v81_20260618_103517,smoke_status,5,current-smoker,1.5160839160839161
v81_20260618_103517,smoke_status,5,ex-smoker,0.500473933649289
v81_20260618_103517,smoke_status,5,non-smoker,0.12903225806451615
v81_20260618_103517,smoke_status,6,current-smoker,1.8712871287128714
v81_20260618_103517,smoke_status,6,ex-smoker,0.13870665417057174
v81_20260618_103517,smoke_status,6,non-smoker,-0.5367170626349892
v81_20260618_103517,smoke_status,7,current-smoker,1.853410740203193
v81_20260618_103517,smoke_status,7,ex-smoker,0.5217794253938832
v81_20260618_103517,smoke_status,7,non-smoker,-0.5300429184549357
v81_20260618_103517,smoke_status,8,current-smoker,1.8895104895104895
v81_20260618_103517,smoke_status,8,ex-smoker,0.25380228136882127
v81_20260618_103517,smoke_status,8,non-smoker,-0.21543408360128619
v81_20260618_103517,smoke_status,9,current-smoker,2.132183908045977
v81_20260618_103517,smoke_status,9,ex-smoker,0.7292659675881792
v81_20260618_103517,smoke_status,9,non-smoker,-0.4167539267015707
v81_20260618_103517,smoke_status,10,current-smoker,1.892608089260809
v81_20260618_103517,smoke_status,10,ex-smoker,-0.2485822306238185
v81_20260618_103517,smoke_status,10,non-smoker,-0.5027027027027027
v81_20260618_103517,medical_history,1,diabetes,1.4708520179372198
