exp_id,candidate,feature_set,encoding,fold,mae
v532_20260618_023511,FS3_raw_plus_BMI_metabolic_product__ENC0_v53_current,FS3_raw_plus_BMI_metabolic_product,ENC0_v53_current,9,0.14150000000000001
v532_20260618_023511,FS3_raw_plus_BMI_metabolic_product__ENC0_v53_current,FS3_raw_plus_BMI_metabolic_product,ENC0_v53_current,10,0.1344
v532_20260618_023511,FS4_raw_plus_BMI_metabolic_ratio__ENC0_v53_current,FS4_raw_plus_BMI_metabolic_ratio,ENC0_v53_current,1,0.12883333333333333
v532_20260618_023511,FS4_raw_plus_BMI_metabolic_ratio__ENC0_v53_current,FS4_raw_plus_BMI_metabolic_ratio,ENC0_v53_current,2,0.12310000000000003
v532_20260618_023511,FS4_raw_plus_BMI_metabolic_ratio__ENC0_v53_current,FS4_raw_plus_BMI_metabolic_ratio,ENC0_v53_current,3,0.13703333333333334
v532_20260618_023511,FS4_raw_plus_BMI_metabolic_ratio__ENC0_v53_current,FS4_raw_plus_BMI_metabolic_ratio,ENC0_v53_current,4,0.14336666666666667
v532_20260618_023511,FS4_raw_plus_BMI_metabolic_ratio__ENC0_v53_current,FS4_raw_plus_BMI_metabolic_ratio,ENC0_v53_current,5,0.14026666666666665
v532_20260618_023511,FS4_raw_plus_BMI_metabolic_ratio__ENC0_v53_current,FS4_raw_plus_BMI_metabolic_ratio,ENC0_v53_current,6,0.12093333333333334
v532_20260618_023511,FS4_raw_plus_BMI_metabolic_ratio__ENC0_v53_current,FS4_raw_plus_BMI_metabolic_ratio,ENC0_v53_current,7,0.1373
v532_20260618_023511,FS4_raw_plus_BMI_metabolic_ratio__ENC0_v53_current,FS4_raw_plus_BMI_metabolic_ratio,ENC0_v53_current,8,0.1416333333333333
v532_20260618_023511,FS4_raw_plus_BMI_metabolic_ratio__ENC0_v53_current,FS4_raw_plus_BMI_metabolic_ratio,ENC0_v53_current,9,0.1414
v532_20260618_023511,FS4_raw_plus_BMI_metabolic_ratio__ENC0_v53_current,FS4_raw_plus_BMI_metabolic_ratio,ENC0_v53_current,10,0.13423333333333334
v532_20260618_023511,FS5_raw_only_no_derived__ENC0_v53_current,FS5_raw_only_no_derived,ENC0_v53_current,1,0.12910000000000002
v532_20260618_023511,FS5_raw_only_no_derived__ENC0_v53_current,FS5_raw_only_no_derived,ENC0_v53_current,2,0.1244
v532_20260618_023511,FS5_raw_only_no_derived__ENC0_v53_current,FS5_raw_only_no_derived,ENC0_v53_current,3,0.13723333333333335
v532_20260618_023511,FS5_raw_only_no_derived__ENC0_v53_current,FS5_raw_only_no_derived,ENC0_v53_current,4,0.14470000000000002
v532_20260618_023511,FS5_raw_only_no_derived__ENC0_v53_current,FS5_raw_only_no_derived,ENC0_v53_current,5,0.1406
v532_20260618_023511,FS5_raw_only_no_derived__ENC0_v53_current,FS5_raw_only_no_derived,ENC0_v53_current,6,0.12269999999999999
v532_20260618_023511,FS5_raw_only_no_derived__ENC0_v53_current,FS5_raw_only_no_derived,ENC0_v53_current,7,0.1369
v532_20260618_023511,FS5_raw_only_no_derived__ENC0_v53_current,FS5_raw_only_no_derived,ENC0_v53_current,8,0.14213333333333333
v532_20260618_023511,FS5_raw_only_no_derived__ENC0_v53_current,FS5_raw_only_no_derived,ENC0_v53_current,9,0.14273333333333332
v532_20260618_023511,FS5_raw_only_no_derived__ENC0_v53_current,FS5_raw_only_no_derived,ENC0_v53_current,10,0.13476666666666667
v532_20260618_023511,FS6_no_ratio_keep_product_BP__ENC0_v53_current,FS6_no_ratio_keep_product_BP,ENC0_v53_current,1,0.12853333333333333
v532_20260618_023511,FS6_no_ratio_keep_product_BP__ENC0_v53_current,FS6_no_ratio_keep_product_BP,ENC0_v53_current,2,0.12313333333333333
v532_20260618_023511,FS6_no_ratio_keep_product_BP__ENC0_v53_current,FS6_no_ratio_keep_product_BP,ENC0_v53_current,3,0.1383666666666667
v532_20260618_023511,FS6_no_ratio_keep_product_BP__ENC0_v53_current,FS6_no_ratio_keep_product_BP,ENC0_v53_current,4,0.14306666666666668
v532_20260618_023511,FS6_no_ratio_keep_product_BP__ENC0_v53_current,FS6_no_ratio_keep_product_BP,ENC0_v53_current,5,0.13976666666666668
v532_20260618_023511,FS6_no_ratio_keep_product_BP__ENC0_v53_current,FS6_no_ratio_keep_product_BP,ENC0_v53_current,6,0.1212
v532_20260618_023511,FS6_no_ratio_keep_product_BP__ENC0_v53_current,FS6_no_ratio_keep_product_BP,ENC0_v53_current,7,0.13746666666666668
v532_20260618_023511,FS6_no_ratio_keep_product_BP__ENC0_v53_current,FS6_no_ratio_keep_product_BP,ENC0_v53_current,8,0.14216666666666666
v532_20260618_023511,FS6_no_ratio_keep_product_BP__ENC0_v53_current,FS6_no_ratio_keep_product_BP,ENC0_v53_current,9,0.14229999999999998
v532_20260618_023511,FS6_no_ratio_keep_product_BP__ENC0_v53_current,FS6_no_ratio_keep_product_BP,ENC0_v53_current,10,0.13516666666666666
v532_20260618_023511,FS7_no_product_keep_ratio_BP__ENC0_v53_current,FS7_no_product_keep_ratio_BP,ENC0_v53_current,1,0.1288
v532_20260618_023511,FS7_no_product_keep_ratio_BP__ENC0_v53_current,FS7_no_product_keep_ratio_BP,ENC0_v53_current,2,0.1231
v532_20260618_023511,FS7_no_product_keep_ratio_BP__ENC0_v53_current,FS7_no_product_keep_ratio_BP,ENC0_v53_current,3,0.13799999999999998
v532_20260618_023511,FS7_no_product_keep_ratio_BP__ENC0_v53_current,FS7_no_product_keep_ratio_BP,ENC0_v53_current,4,0.14343333333333333
v532_20260618_023511,FS7_no_product_keep_ratio_BP__ENC0_v53_current,FS7_no_product_keep_ratio_BP,ENC0_v53_current,5,0.13973333333333335
v532_20260618_023511,FS7_no_product_keep_ratio_BP__ENC0_v53_current,FS7_no_product_keep_ratio_BP,ENC0_v53_current,6,0.12076666666666666
v532_20260618_023511,FS7_no_product_keep_ratio_BP__ENC0_v53_current,FS7_no_product_keep_ratio_BP,ENC0_v53_current,7,0.1373
v532_20260618_023511,FS7_no_product_keep_ratio_BP__ENC0_v53_current,FS7_no_product_keep_ratio_BP,ENC0_v53_current,8,0.14200000000000002
v532_20260618_023511,FS7_no_product_keep_ratio_BP__ENC0_v53_current,FS7_no_product_keep_ratio_BP,ENC0_v53_current,9,0.14179999999999998
v532_20260618_023511,FS7_no_product_keep_ratio_BP__ENC0_v53_current,FS7_no_product_keep_ratio_BP,ENC0_v53_current,10,0.1349
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC0_v53_current,FS8_no_BP_keep_BMI_metabolic,ENC0_v53_current,1,0.12846666666666667
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC0_v53_current,FS8_no_BP_keep_BMI_metabolic,ENC0_v53_current,2,0.12263333333333333
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC0_v53_current,FS8_no_BP_keep_BMI_metabolic,ENC0_v53_current,3,0.1371666666666667
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC0_v53_current,FS8_no_BP_keep_BMI_metabolic,ENC0_v53_current,4,0.14283333333333334
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC0_v53_current,FS8_no_BP_keep_BMI_metabolic,ENC0_v53_current,5,0.1401
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC0_v53_current,FS8_no_BP_keep_BMI_metabolic,ENC0_v53_current,6,0.12023333333333333
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC0_v53_current,FS8_no_BP_keep_BMI_metabolic,ENC0_v53_current,7,0.13703333333333334
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC0_v53_current,FS8_no_BP_keep_BMI_metabolic,ENC0_v53_current,8,0.14153333333333332
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC0_v53_current,FS8_no_BP_keep_BMI_metabolic,ENC0_v53_current,9,0.14106666666666667
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC0_v53_current,FS8_no_BP_keep_BMI_metabolic,ENC0_v53_current,10,0.1342
