exp_id,candidate,fold,mae,family,add_rules
v83_20260618_104526,extra_trees_leaf5_rules,4,0.21719999999999998,ensemble_tree_rules,True
v83_20260618_104526,extra_trees_leaf5_rules,5,0.21283333333333335,ensemble_tree_rules,True
v83_20260618_104526,extra_trees_leaf5_rules,6,0.21026666666666666,ensemble_tree_rules,True
v83_20260618_104526,extra_trees_leaf5_rules,7,0.21800000000000003,ensemble_tree_rules,True
v83_20260618_104526,extra_trees_leaf5_rules,8,0.21803333333333333,ensemble_tree_rules,True
v83_20260618_104526,extra_trees_leaf5_rules,9,0.21150000000000002,ensemble_tree_rules,True
v83_20260618_104526,extra_trees_leaf5_rules,10,0.2215333333333333,ensemble_tree_rules,True
v83_20260618_104526,random_forest_leaf5,1,0.19543333333333335,ensemble_tree,False
v83_20260618_104526,random_forest_leaf5,2,0.2121,ensemble_tree,False
v83_20260618_104526,random_forest_leaf5,3,0.2086666666666667,ensemble_tree,False
v83_20260618_104526,random_forest_leaf5,4,0.21363333333333334,ensemble_tree,False
v83_20260618_104526,random_forest_leaf5,5,0.21483333333333335,ensemble_tree,False
v83_20260618_104526,random_forest_leaf5,6,0.21100000000000002,ensemble_tree,False
v83_20260618_104526,random_forest_leaf5,7,0.22,ensemble_tree,False
v83_20260618_104526,random_forest_leaf5,8,0.21989999999999998,ensemble_tree,False
v83_20260618_104526,random_forest_leaf5,9,0.212,ensemble_tree,False
v83_20260618_104526,random_forest_leaf5,10,0.21353333333333335,ensemble_tree,False
v83_20260618_104526,hist_gradient_boosting,1,0.20299999999999999,boosting,False
v83_20260618_104526,hist_gradient_boosting,2,0.22246666666666665,boosting,False
v83_20260618_104526,hist_gradient_boosting,3,0.21353333333333335,boosting,False
v83_20260618_104526,hist_gradient_boosting,4,0.21943333333333334,boosting,False
v83_20260618_104526,hist_gradient_boosting,5,0.21873333333333334,boosting,False
v83_20260618_104526,hist_gradient_boosting,6,0.22343333333333334,boosting,False
v83_20260618_104526,hist_gradient_boosting,7,0.22886666666666666,boosting,False
v83_20260618_104526,hist_gradient_boosting,8,0.23103333333333334,boosting,False
v83_20260618_104526,hist_gradient_boosting,9,0.21953333333333333,boosting,False
v83_20260618_104526,hist_gradient_boosting,10,0.2175666666666667,boosting,False
v83_20260618_104526,hist_gradient_boosting_rules,1,0.20086666666666667,boosting_rules,True
v83_20260618_104526,hist_gradient_boosting_rules,2,0.2251,boosting_rules,True
v83_20260618_104526,hist_gradient_boosting_rules,3,0.21266666666666667,boosting_rules,True
v83_20260618_104526,hist_gradient_boosting_rules,4,0.22320000000000004,boosting_rules,True
v83_20260618_104526,hist_gradient_boosting_rules,5,0.22086666666666668,boosting_rules,True
v83_20260618_104526,hist_gradient_boosting_rules,6,0.21776666666666666,boosting_rules,True
v83_20260618_104526,hist_gradient_boosting_rules,7,0.23103333333333334,boosting_rules,True
v83_20260618_104526,hist_gradient_boosting_rules,8,0.2301,boosting_rules,True
v83_20260618_104526,hist_gradient_boosting_rules,9,0.22169999999999998,boosting_rules,True
v83_20260618_104526,hist_gradient_boosting_rules,10,0.21626666666666666,boosting_rules,True
