exp_id,model,scaler,n_splits,postprocess,mean_mae,std_mae,pred_mean,pred_std,pred_min,pred_max
v7_20260617_181613,mlp_wide_relu_l2_1e3,standard,5,clip_0_1_round2,0.21836333333333333,0.013273539886221415,0.4742333333333333,0.18492758481659133,0.0,1.0
v7_20260617_181613,mlp_wide_relu_l2_1e3,standard,5,clip_0_1,0.2184745155946742,0.01326456617436902,0.47419879607854765,0.18494347171341455,0.0,1.0
v7_20260617_181613,mlp_wide_relu_l2_1e3,standard,5,raw,0.21874172660117974,0.013030910791852696,0.47416223222138537,0.18572283113180293,-0.1886218744776525,1.1014687003455421
v7_20260617_181613,mlp_small_lbfgs,standard,5,clip_0_1_round2,0.22273,0.017017284513758994,0.47214666666666666,0.31183896432097524,0.0,1.0
v7_20260617_181613,mlp_small_lbfgs,standard,5,clip_0_1,0.22281084377965107,0.01703329871886656,0.4722008307959693,0.3118455492849513,0.0,1.0
v7_20260617_181613,mlp_medium_relu_l2_1e3_robust_scaler,robust,5,clip_0_1_round2,0.23435333333333333,0.010696724576554581,0.4900966666666667,0.13506753274451064,0.01,1.0
v7_20260617_181613,mlp_medium_relu_l2_1e3_robust_scaler,robust,5,clip_0_1,0.2344421372800503,0.010675863823446737,0.4901226139137341,0.13501744025766585,0.010159378694531707,1.0
v7_20260617_181613,mlp_medium_relu_l2_1e3_robust_scaler,robust,5,raw,0.2345198788618949,0.010521503599781032,0.4902003554955788,0.13534064486209024,0.010159378694531707,1.1415458848497173
v7_20260617_181613,mlp_medium_relu_l2_1e3,standard,5,clip_0_1,0.24040420708548424,0.004256631410939961,0.47618309954571897,0.11700984611958878,0.028386686131060268,0.9082043015754762
v7_20260617_181613,mlp_medium_relu_l2_1e3,standard,5,raw,0.24040420708548424,0.004256631410939961,0.47618309954571897,0.11700984611958878,0.028386686131060268,0.9082043015754762
v7_20260617_181613,mlp_medium_relu_l2_1e3,standard,5,clip_0_1_round2,0.24044333333333334,0.0042387039423756635,0.4761533333333334,0.11706595563276126,0.03,0.91
v7_20260617_181613,mlp_medium_relu_l2_1e4,standard,5,clip_0_1_round2,0.24114000000000005,0.0030241298105589108,0.47587,0.11071492988105168,0.04,0.99
v7_20260617_181613,mlp_medium_relu_l2_1e4,standard,5,clip_0_1,0.24114709307749985,0.003041240666248749,0.47586554639827167,0.11061699392502158,0.037893255204379306,0.9910785882483018
v7_20260617_181613,mlp_medium_relu_l2_1e4,standard,5,raw,0.24114709307749985,0.003041240666248749,0.47586554639827167,0.11061699392502158,0.037893255204379306,0.9910785882483018
v7_20260617_181613,mlp_small_relu_l2_1e4,standard,5,clip_0_1_round2,0.24617,0.0024466076287155145,0.4790533333333334,0.13838432195306552,0.0,1.0
v7_20260617_181613,mlp_small_relu_l2_1e4,standard,5,clip_0_1,0.24620289023051084,0.002513017056966126,0.47912489583992596,0.13833061212691142,0.0,1.0
v7_20260617_181613,mlp_small_relu_l2_1e4,standard,5,raw,0.24648598884961515,0.002650377632336704,0.47887002568651554,0.13941427680193502,-0.16725282666759028,1.0306393723305123
v7_20260617_181613,mlp_tanh_medium_l2_1e4,standard,5,clip_0_1_round2,0.24786333333333332,0.0063170778230303365,0.47964,0.11539602454515901,0.0,0.96
v7_20260617_181613,mlp_tanh_medium_l2_1e4,standard,5,clip_0_1,0.24788555093173187,0.006351556339054412,0.4796470211968838,0.11537447396574949,0.0,0.9561325591922428
v7_20260617_181613,mlp_tanh_medium_l2_1e4,standard,5,raw,0.24791384413706252,0.006359762707596794,0.47961872799155314,0.11549730886204534,-0.045946399048984184,0.9561325591922428
v7_20260617_181613,mlp_small_lbfgs,standard,5,raw,0.2504704808204238,0.02188767147403229,0.46858084719626236,0.3686666007220363,-0.9564364827754912,2.5093194428564627
