exp_id,hypothesis_group,feature_set,model,target_mode,postprocess,mean_mae,std_mae,pred_mean,pred_std,pred_min,pred_max,notes
v5_20260617_030349,D_kernel_latent_score,S3_mean_working_score,svr_rbf,raw,clip_0_1,0.18957639190755987,0.0065859360055503064,0.48138596923129884,0.13332818652953446,0.0,1.0,kfold; scaled; dense
v5_20260617_030349,D_kernel_latent_score,S3_mean_working_score,svr_rbf,raw,raw,0.1895765862017315,0.00658583471117993,0.48138597460470145,0.13332891632818958,-0.00021547027747081948,1.0002995013613252,kfold; scaled; dense
v5_20260617_030349,B_binned_or_tree_scorecard,S3_mean_working_score,randomforest,raw,clip_0_1_round2,0.19261,0.007091571244516224,0.4796000000000001,0.12131891619395342,0.15,0.86,kfold; unscaled; sparse-ok
v5_20260617_030349,B_binned_or_tree_scorecard,S3_mean_working_score,randomforest,raw,clip_0_1,0.19263662333333328,0.007145082062061413,0.4797009433333334,0.12121585505665466,0.15210000000000054,0.8561200000000053,kfold; unscaled; sparse-ok
v5_20260617_030349,B_binned_or_tree_scorecard,S3_mean_working_score,randomforest,raw,raw,0.19263662333333328,0.007145082062061413,0.4797009433333334,0.12121585505665466,0.15210000000000054,0.8561200000000053,kfold; unscaled; sparse-ok
v5_20260617_030349,C_boosting,S3_mean_working_score,lightgbm,raw,raw,0.20166645311548947,0.00866377011155156,0.47869437283969185,0.12738448796069163,0.11816125506917835,0.9393938661125254,kfold; unscaled; sparse-ok
v5_20260617_030349,C_boosting,S3_mean_working_score,lightgbm,raw,clip_0_1,0.20166645311548947,0.00866377011155156,0.47869437283969185,0.12738448796069163,0.11816125506917835,0.9393938661125254,kfold; unscaled; sparse-ok
v5_20260617_030349,C_boosting,S3_mean_working_score,lightgbm,raw,clip_0_1_round2,0.20168999999999998,0.008623153586581752,0.47874666666666665,0.1274259586866217,0.12,0.94,kfold; unscaled; sparse-ok
v5_20260617_030349,C_boosting,S3_mean_working_score,catboost,raw,clip_0_1_round2,0.21647333333333335,0.00972712638215013,0.47226999999999997,0.10478457441665047,0.1,0.97,kfold; unscaled; sparse-ok
v5_20260617_030349,C_boosting,S3_mean_working_score,catboost,raw,raw,0.21648000033658152,0.009685394171163713,0.47233515406618215,0.10475999819291204,0.10379912805317226,0.9669708447452547,kfold; unscaled; sparse-ok
