exp_id,strategy,splitter,n_splits,seed,fold,train_size,valid_size,valid_target_mean,valid_target_std,mae
v532_foldcheck_20260618_132050,kfold_20_seed42,kfold,20,42,13,2850,150,0.5090666666666668,0.2948150294099599,0.12766666666666665
v532_foldcheck_20260618_132050,kfold_20_seed42,kfold,20,42,14,2850,150,0.4606666666666666,0.2878120813715873,0.12586666666666668
v532_foldcheck_20260618_132050,kfold_20_seed42,kfold,20,42,15,2850,150,0.5173333333333334,0.2935633123272031,0.13493333333333335
v532_foldcheck_20260618_132050,kfold_20_seed42,kfold,20,42,16,2850,150,0.45860000000000006,0.29722210527780707,0.13993333333333335
v532_foldcheck_20260618_132050,kfold_20_seed42,kfold,20,42,17,2850,150,0.4651333333333334,0.2919012811582615,0.1336
v532_foldcheck_20260618_132050,kfold_20_seed42,kfold,20,42,18,2850,150,0.4656,0.2853691357245227,0.13326666666666664
v532_foldcheck_20260618_132050,kfold_20_seed42,kfold,20,42,19,2850,150,0.5164000000000001,0.29202895875525403,0.11720000000000001
v532_foldcheck_20260618_132050,kfold_20_seed42,kfold,20,42,20,2850,150,0.5210666666666668,0.2821992885865363,0.13599999999999998
v532_foldcheck_20260618_132050,stratified_5_seed42,stratified,5,42,1,2400,600,0.4815,0.2886305527717435,0.13828333333333334
v532_foldcheck_20260618_132050,stratified_5_seed42,stratified,5,42,2,2400,600,0.48140000000000005,0.28727614933479545,0.14174999999999996
v532_foldcheck_20260618_132050,stratified_5_seed42,stratified,5,42,3,2400,600,0.4820833333333333,0.2885514332054115,0.14608333333333334
v532_foldcheck_20260618_132050,stratified_5_seed42,stratified,5,42,4,2400,600,0.48358333333333337,0.28934153509092014,0.14305
v532_foldcheck_20260618_132050,stratified_5_seed42,stratified,5,42,5,2400,600,0.4820833333333333,0.28841312372842337,0.15246666666666664
v532_foldcheck_20260618_132050,stratified_10_seed42,stratified,10,42,1,2700,300,0.48100000000000004,0.28963995640765117,0.13283333333333333
v532_foldcheck_20260618_132050,stratified_10_seed42,stratified,10,42,2,2700,300,0.48400000000000004,0.28673808448999233,0.12056666666666667
v532_foldcheck_20260618_132050,stratified_10_seed42,stratified,10,42,3,2700,300,0.4825,0.28850685262810993,0.12353333333333334
v532_foldcheck_20260618_132050,stratified_10_seed42,stratified,10,42,4,2700,300,0.48676666666666657,0.28623705395892723,0.1325
v532_foldcheck_20260618_132050,stratified_10_seed42,stratified,10,42,5,2700,300,0.4866666666666667,0.2893463205218862,0.1237
v532_foldcheck_20260618_132050,stratified_10_seed42,stratified,10,42,6,2700,300,0.4802,0.28935395690154636,0.15473333333333333
v532_foldcheck_20260618_132050,stratified_10_seed42,stratified,10,42,7,2700,300,0.48129999999999995,0.2924649766071247,0.1416
v532_foldcheck_20260618_132050,stratified_10_seed42,stratified,10,42,8,2700,300,0.48066666666666674,0.2866696481657714,0.1285
v532_foldcheck_20260618_132050,stratified_10_seed42,stratified,10,42,9,2700,300,0.479,0.28616773620404373,0.14586666666666667
v532_foldcheck_20260618_132050,stratified_10_seed42,stratified,10,42,10,2700,300,0.47919999999999996,0.291528138467618,0.14223333333333332
