candidate,group_col,group_value,count,residual_mean,residual_median,mae100
v53_sentinel99,endpoint,y_eq_0,26,-17.846153846153847,-1.0,17.846153846153847
v53_sentinel99,endpoint,y_001_003,101,-22.99009900990099,-2.0,22.99009900990099
v53_sentinel99,endpoint,y_097_099,90,29.822222222222223,48.0,29.822222222222223
v53_sentinel99,endpoint,y_eq_1,17,15.823529411764707,0.0,15.823529411764707
v53_sentinel99,target_decile,0,306,-22.225490196078432,-27.0,22.225490196078432
v53_sentinel99,target_decile,1,318,-17.556603773584907,-21.0,17.556603773584907
v53_sentinel99,target_decile,2,304,-12.125,-1.0,12.125
v53_sentinel99,target_decile,3,294,-8.183673469387756,-11.0,8.183673469387756
v53_sentinel99,target_decile,4,296,-3.2804054054054053,-1.0,3.35472972972973
v53_sentinel99,target_decile,5,302,2.685430463576159,1.0,2.705298013245033
v53_sentinel99,target_decile,6,282,7.840425531914893,10.0,7.847517730496454
v53_sentinel99,target_decile,7,305,13.531147540983607,21.0,13.531147540983607
v53_sentinel99,target_decile,8,298,20.184563758389263,30.0,20.184563758389263
v53_sentinel99,target_decile,9,295,26.55593220338983,41.0,26.55593220338983
v53_sentinel99,mean_working_group,10,346,0.1647398843930636,0.0,13.823699421965317
v53_sentinel99,mean_working_group,11,120,8.433333333333334,0.0,13.483333333333333
v53_sentinel99,mean_working_group,7,318,-1.0943396226415094,0.0,13.723270440251572
v53_sentinel99,mean_working_group,8,451,1.1529933481152994,0.0,14.789356984478935
v53_sentinel99,mean_working_group,9,537,-0.9199255121042831,0.0,13.94413407821229
v53_sentinel99,mean_working_group,<=6,119,-8.294117647058824,0.0,10.260504201680673
v53_sentinel99,mean_working_group,>=12,77,13.012987012987013,2.0,13.61038961038961
v53_sentinel99,mean_working_group,missing,1032,0.7645348837209303,0.0,12.871124031007753
v53_sentinel99,sleep_pattern,normal,1557,0.6551059730250481,0.0,13.19460500963391
v53_sentinel99,sleep_pattern,oversleeping,424,-0.03537735849056604,0.0,12.992924528301886
v53_sentinel99,sleep_pattern,sleep difficulty,1019,0.535819430814524,0.0,14.153091265947007
v53_sentinel99,activity,intense,675,0.5733333333333334,0.0,14.493333333333334
v53_sentinel99,activity,light,894,-0.28187919463087246,0.0,14.022371364653244
v53_sentinel99,activity,moderate,1431,0.989517819706499,0.0,12.68763102725367
v53_sentinel99,smoke_status,current-smoker,784,1.8801020408163265,0.0,13.854591836734693
v53_sentinel99,smoke_status,ex-smoker,1177,0.2897196261682243,0.0,13.295666949872558
v53_sentinel99,smoke_status,non-smoker,1039,-0.25409047160731474,0.0,13.439846005774783
v53_sentinel99,medical_history,Unknown,1289,0.28626842513576417,0.0,14.13576415826222
v53_sentinel99,medical_history,diabetes,506,1.7865612648221343,0.0,12.774703557312254
v53_sentinel99,medical_history,heart disease,508,-1.187007874015748,0.0,13.525590551181102
v53_sentinel99,medical_history,high blood pressure,697,1.2639885222381635,0.0,12.796269727403157
sentinel_999,endpoint,y_eq_0,26,-17.884615384615383,-1.0,17.884615384615383
sentinel_999,endpoint,y_001_003,101,-22.99009900990099,-2.0,22.99009900990099
sentinel_999,endpoint,y_097_099,90,29.822222222222223,48.0,29.822222222222223
sentinel_999,endpoint,y_eq_1,17,15.823529411764707,0.0,15.823529411764707
sentinel_999,target_decile,0,306,-22.22875816993464,-27.0,22.22875816993464
sentinel_999,target_decile,1,318,-17.547169811320753,-21.0,17.547169811320753
sentinel_999,target_decile,2,304,-12.12171052631579,-1.0,12.12171052631579
sentinel_999,target_decile,3,294,-8.183673469387756,-11.0,8.183673469387756
sentinel_999,target_decile,4,296,-3.2804054054054053,-1.0,3.35472972972973
sentinel_999,target_decile,5,302,2.685430463576159,1.0,2.705298013245033
sentinel_999,target_decile,6,282,7.843971631205674,10.0,7.843971631205674
sentinel_999,target_decile,7,305,13.531147540983607,21.0,13.531147540983607
sentinel_999,target_decile,8,298,20.174496644295303,30.0,20.174496644295303
sentinel_999,target_decile,9,295,26.54915254237288,41.0,26.54915254237288
sentinel_999,mean_working_group,10,346,0.161849710982659,0.0,13.820809248554914
sentinel_999,mean_working_group,11,120,8.425,0.0,13.458333333333334
sentinel_999,mean_working_group,7,318,-1.0943396226415094,0.0,13.71069182389937
sentinel_999,mean_working_group,8,451,1.1485587583148558,0.0,14.78048780487805
sentinel_999,mean_working_group,9,537,-0.9217877094972067,0.0,13.945996275605214
sentinel_999,mean_working_group,<=6,119,-8.285714285714286,0.0,10.252100840336135
sentinel_999,mean_working_group,>=12,77,13.0,2.0,13.597402597402597
sentinel_999,mean_working_group,missing,1032,0.7684108527131783,0.0,12.875
sentinel_999,sleep_pattern,normal,1557,0.6563904945407836,0.0,13.190751445086706
sentinel_999,sleep_pattern,oversleeping,424,-0.03537735849056604,0.0,12.992924528301886
sentinel_999,sleep_pattern,sleep difficulty,1019,0.5328753680078508,0.0,14.150147203140333
sentinel_999,activity,intense,675,0.5733333333333334,0.0,14.490370370370371
sentinel_999,activity,light,894,-0.2807606263982103,0.0,14.019015659955258
sentinel_999,activity,moderate,1431,0.9881201956673655,0.0,12.684835779175401
sentinel_999,smoke_status,current-smoker,784,1.8801020408163265,0.0,13.854591836734693
sentinel_999,smoke_status,ex-smoker,1177,0.2897196261682243,0.0,13.292268479184367
sentinel_999,smoke_status,non-smoker,1039,-0.2550529355149182,0.0,13.435033686236766
sentinel_999,medical_history,Unknown,1289,0.287044220325834,0.0,14.13343677269201
sentinel_999,medical_history,diabetes,506,1.7924901185770752,0.0,12.772727272727273
sentinel_999,medical_history,heart disease,508,-1.1948818897637796,0.0,13.513779527559056
sentinel_999,medical_history,high blood pressure,697,1.2625538020086082,0.0,12.79770444763271
