exp_id,candidate,feature_set,encoding,fold,mae
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC3_sleep_revised,FS8_no_BP_keep_BMI_metabolic,ENC3_sleep_revised,4,0.14283333333333334
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC3_sleep_revised,FS8_no_BP_keep_BMI_metabolic,ENC3_sleep_revised,5,0.1401
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC3_sleep_revised,FS8_no_BP_keep_BMI_metabolic,ENC3_sleep_revised,6,0.12023333333333333
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC3_sleep_revised,FS8_no_BP_keep_BMI_metabolic,ENC3_sleep_revised,7,0.13703333333333334
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC3_sleep_revised,FS8_no_BP_keep_BMI_metabolic,ENC3_sleep_revised,8,0.14153333333333332
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC3_sleep_revised,FS8_no_BP_keep_BMI_metabolic,ENC3_sleep_revised,9,0.14106666666666667
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC3_sleep_revised,FS8_no_BP_keep_BMI_metabolic,ENC3_sleep_revised,10,0.1342
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC4_no_ordinal_except_binary,FS8_no_BP_keep_BMI_metabolic,ENC4_no_ordinal_except_binary,1,0.12813333333333332
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC4_no_ordinal_except_binary,FS8_no_BP_keep_BMI_metabolic,ENC4_no_ordinal_except_binary,2,0.12229999999999999
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC4_no_ordinal_except_binary,FS8_no_BP_keep_BMI_metabolic,ENC4_no_ordinal_except_binary,3,0.13643333333333332
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC4_no_ordinal_except_binary,FS8_no_BP_keep_BMI_metabolic,ENC4_no_ordinal_except_binary,4,0.14186666666666667
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC4_no_ordinal_except_binary,FS8_no_BP_keep_BMI_metabolic,ENC4_no_ordinal_except_binary,5,0.13963333333333333
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC4_no_ordinal_except_binary,FS8_no_BP_keep_BMI_metabolic,ENC4_no_ordinal_except_binary,6,0.1201
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC4_no_ordinal_except_binary,FS8_no_BP_keep_BMI_metabolic,ENC4_no_ordinal_except_binary,7,0.13709999999999997
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC4_no_ordinal_except_binary,FS8_no_BP_keep_BMI_metabolic,ENC4_no_ordinal_except_binary,8,0.1412
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC4_no_ordinal_except_binary,FS8_no_BP_keep_BMI_metabolic,ENC4_no_ordinal_except_binary,9,0.14033333333333334
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC4_no_ordinal_except_binary,FS8_no_BP_keep_BMI_metabolic,ENC4_no_ordinal_except_binary,10,0.1346
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC5_missing_explicit_for_edu_only,FS8_no_BP_keep_BMI_metabolic,ENC5_missing_explicit_for_edu_only,1,0.12813333333333332
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC5_missing_explicit_for_edu_only,FS8_no_BP_keep_BMI_metabolic,ENC5_missing_explicit_for_edu_only,2,0.12229999999999999
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC5_missing_explicit_for_edu_only,FS8_no_BP_keep_BMI_metabolic,ENC5_missing_explicit_for_edu_only,3,0.13643333333333332
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC5_missing_explicit_for_edu_only,FS8_no_BP_keep_BMI_metabolic,ENC5_missing_explicit_for_edu_only,4,0.14186666666666667
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC5_missing_explicit_for_edu_only,FS8_no_BP_keep_BMI_metabolic,ENC5_missing_explicit_for_edu_only,5,0.13963333333333333
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC5_missing_explicit_for_edu_only,FS8_no_BP_keep_BMI_metabolic,ENC5_missing_explicit_for_edu_only,6,0.1201
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC5_missing_explicit_for_edu_only,FS8_no_BP_keep_BMI_metabolic,ENC5_missing_explicit_for_edu_only,7,0.13709999999999997
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC5_missing_explicit_for_edu_only,FS8_no_BP_keep_BMI_metabolic,ENC5_missing_explicit_for_edu_only,8,0.1412
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC5_missing_explicit_for_edu_only,FS8_no_BP_keep_BMI_metabolic,ENC5_missing_explicit_for_edu_only,9,0.14033333333333334
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC5_missing_explicit_for_edu_only,FS8_no_BP_keep_BMI_metabolic,ENC5_missing_explicit_for_edu_only,10,0.1346
