C,gamma,mean_mae,std_mae,pred_mean,pred_std,pred_min,pred_max
1.0,1.0632,0.13416333333333336,0.00792762711061376,0.47683333333333333,0.1964933558390433,0.0,1.0
2.0,1.0632,0.13416333333333336,0.00792762711061376,0.47683333333333333,0.1964933558390433,0.0,1.0
3.0,1.0632,0.13416333333333336,0.00792762711061376,0.47683333333333333,0.1964933558390433,0.0,1.0
3.5,1.0632,0.13416333333333336,0.00792762711061376,0.47683333333333333,0.1964933558390433,0.0,1.0
3.96,1.0632,0.13416333333333336,0.00792762711061376,0.47683333333333333,0.1964933558390433,0.0,1.0
4.0,1.0632,0.13416333333333336,0.00792762711061376,0.47683333333333333,0.1964933558390433,0.0,1.0
4.5,1.0632,0.13416333333333336,0.00792762711061376,0.47683333333333333,0.1964933558390433,0.0,1.0
6.0,1.0632,0.13416333333333336,0.00792762711061376,0.47683333333333333,0.1964933558390433,0.0,1.0
8.0,1.0632,0.13416333333333336,0.00792762711061376,0.47683333333333333,0.1964933558390433,0.0,1.0
1.0,1.06,0.13416333333333336,0.007947768535341104,0.47682,0.19649856895153206,0.0,1.0
2.0,1.06,0.13416333333333336,0.007947768535341104,0.47682,0.19649856895153206,0.0,1.0
3.0,1.06,0.13416333333333336,0.007947768535341104,0.47682,0.19649856895153206,0.0,1.0
3.5,1.06,0.13416333333333336,0.007947768535341104,0.47682,0.19649856895153206,0.0,1.0
3.96,1.06,0.13416333333333336,0.007947768535341104,0.47682,0.19649856895153206,0.0,1.0
4.0,1.06,0.13416333333333336,0.007947768535341104,0.47682,0.19649856895153206,0.0,1.0
4.5,1.06,0.13416333333333336,0.007947768535341104,0.47682,0.19649856895153206,0.0,1.0
6.0,1.06,0.13416333333333336,0.007947768535341104,0.47682,0.19649856895153206,0.0,1.0
8.0,1.06,0.13416333333333336,0.007947768535341104,0.47682,0.19649856895153206,0.0,1.0
1.0,1.2,0.1341966666666667,0.007950936741147451,0.4769533333333334,0.1961721637292667,0.0,1.0
2.0,1.2,0.1341966666666667,0.007950936741147451,0.4769533333333334,0.1961721637292667,0.0,1.0
3.0,1.2,0.1341966666666667,0.007950936741147451,0.4769533333333334,0.1961721637292667,0.0,1.0
3.5,1.2,0.1341966666666667,0.007950936741147451,0.4769533333333334,0.1961721637292667,0.0,1.0
3.96,1.2,0.1341966666666667,0.007950936741147451,0.4769533333333334,0.1961721637292667,0.0,1.0
4.0,1.2,0.1341966666666667,0.007950936741147451,0.4769533333333334,0.1961721637292667,0.0,1.0
4.5,1.2,0.1341966666666667,0.007950936741147451,0.4769533333333334,0.1961721637292667,0.0,1.0
6.0,1.2,0.1341966666666667,0.007950936741147451,0.4769533333333334,0.1961721637292667,0.0,1.0
8.0,1.2,0.1341966666666667,0.007950936741147451,0.4769533333333334,0.1961721637292667,0.0,1.0
1.0,1.0,0.1342033333333333,0.007926007355068035,0.47674666666666676,0.19663540497298265,0.0,1.0
1.0,0.9,0.13420333333333334,0.008089490972708413,0.47671333333333327,0.1970042245457921,0.0,1.0
2.0,1.0,0.13420666666666667,0.007928520170798925,0.47674333333333335,0.1966347564789998,0.0,1.0
3.0,1.0,0.13420666666666667,0.007928520170798925,0.47674333333333335,0.1966347564789998,0.0,1.0
3.5,1.0,0.13420666666666667,0.007928520170798925,0.47674333333333335,0.1966347564789998,0.0,1.0
3.96,1.0,0.13420666666666667,0.007928520170798925,0.47674333333333335,0.1966347564789998,0.0,1.0
4.0,1.0,0.13420666666666667,0.007928520170798925,0.47674333333333335,0.1966347564789998,0.0,1.0
4.5,1.0,0.13420666666666667,0.007928520170798925,0.47674333333333335,0.1966347564789998,0.0,1.0
6.0,1.0,0.13420666666666667,0.007928520170798925,0.47674333333333335,0.1966347564789998,0.0,1.0
8.0,1.0,0.13420666666666667,0.007928520170798925,0.47674333333333335,0.1966347564789998,0.0,1.0
2.0,0.9,0.13420666666666667,0.008085786951019917,0.47671,0.19699376276082112,0.0,1.0
3.0,0.9,0.13420666666666667,0.008085786951019917,0.47671,0.19699376276082112,0.0,1.0
3.5,0.9,0.13420666666666667,0.008085786951019917,0.47671,0.19699376276082112,0.0,1.0
3.96,0.9,0.13420666666666667,0.008085786951019917,0.47671,0.19699376276082112,0.0,1.0
4.0,0.9,0.13420666666666667,0.008085786951019917,0.47671,0.19699376276082112,0.0,1.0
